username,tweet
kirbhj,My grandads 85th birthday as well. So not happy he can't celebrate with family 
tejross,Fun to take part in a drive-by 85th birthday party tonight in St Andrews - quickest party I've ever been to - happy birthday Ted!
NorbNolty,"We surprised my mom today for her 85th with most of her children, 16 grand children, and 26 great grand children driving by her house honking horns and holding balloons. Then we sang her happy birthday from our cars. She was so happy "
PoeticSlave,.@smow123 any chance I can a 30 sec video of your grandma Judi wishing my grandma Bea a Happy 85th birthday by tomorrow afternoon??
jchenryonline,Happy 85th Birthday to my Grandad even in lockdown he’s still cracking jokes and giving me life! • https://www.instagram.com/p/B_Vm4BTJCSJ/?igshid=11hz54lwcf3yj
HCSOTexas,"If you heard sirens in west Harris County, everything's fine! Deputies from @HCSO_D4Patrol threw a drive-by bday parade for Ms. Hawa Moton, who's celebrating her 85th birthday. Thanks to all of our law enforcement partners who joined us. Happy birthday, Ms. Hawa Moton! #HouNews"
BiancaMDoyle,"#BigNightIn Happy 85th Birthday to our Nanny Mary love the Doyle, Duncan &amp; Darragh’s xxx"
sharonainvegas,"#ThrowbackThursday a year ago today, 4-23-19, on my mom’s 85th birthday in heaven, on her favorite beach in Maui, I threw my plumeria lei into the ocean to her, wishing her a happy birthday. We did this very thing, on this very beach, at this very spot, years before, together. "
NickRowntree7,"Happy 85th birthday to the great #CharlesGrodin ""These things go down! It's too big!"""
carloxilao,Happy 85th Birthday brader @Protomartyrrr!! See you soon pre and ingat always 
respecthecat525,happy 85th birthday
xtinebordeen,"Happy 85th Birthday to my Mum Mum! I'm so lucky to have her as mine. Love you, Mum Mum! https://www.instagram.com/p/B_Te7wHDPSs4oyDOh1FIchGnCrntvmDcIMjpyg0/?igshid=gllxj5epmnn7"
NeilFranks,Today is my dad's 85th birthday. Take a moment and read an article I wrote about him. Then would you go to his Facebook page and wish him a happy birthday! https://www.facebook.com/clyda.franks.5
HakesAuctions,#OTD - 1935 - The classic #JamesWhale-directed #horrorfilm #BrideOfFrankenstein was seen for the very 1st time. Happy 85th Birthday to one of the most iconic #UniversalMonsters! Have you seen it? #ElsaLanchester #BorisKarloff #UniversalMonsterArmy #horrorfans #horrorcollectors
EGoeking,Happy heavenly 85th birthday pops. Are you still going around greeting everyone up there? I bet you still are! 
be_u_tifulsoul,Happy 85th birthday Mama 
zbMATH,"Happy 85th birthday to our reviewer Bhama Srinivasan https://zbmath.org/authors/srinivasan.bhama! One of her most influential papers has been praised in the review https://zbmath.org/0507.20007: ""This very important paper opens the gate to a new fascinating area of modular representation theory""."
pauld15,Happy 85th birthday to my dear mother! She is the most inspirational woman I have ever known and has always put others before herself. She is now suffering from dementia so I wanted to throw a big party as… https://www.instagram.com/p/B_R-0cPJ2H6/?igshid=1iy8xhme1876c
mnralphie,Happy 85th Birthday to Charles Grodin! #CharlesGrodin
grill_momma,Wishing a very happy 85th birthday to this lovely lady Ms. Tootsie the Queen of BBQ herself at @snowsbbq! I know a lot of people that can’t wait to get to visit her once again. You can’t help but smile when you see this lovely hardworking lady in actio… https://instagr.am/p/B_QWIeXnfrg/
VisionLily,Happy 85th Birthday to my mum who is receiving fantastic care in her Nursing Home. They are doing their very best to care for everyone there in these extraordinary times #THANKYOU 
RickHammerly,"Happy 85th birthday Jennie Lou Hammerly! Love, your 1st born son. you, Mom! Sorry that David &amp; I can’t see you in person, today. #happybirthdaymom – at Arlington, VA"
RD3txex,"Just a couple of weeks before the shutdown... RT ⁦@TexasMonthly⁩ Happy 85th birthday to Norma Frances Tomanetz, who you might know as Tootsie from @snowsbbq. ⁦@tmbbq⁩"
musicboxtheatre,"Happy 85th Birthday to Charles Grodin, seen here on one of our favorite T-shirts! "
tmbbq,"Happy 85th birthday to Norma Frances Tomanetz, who you might know as Tootsie from @snowsbbq."
T_FUTURIST,"Happy 85th Birthday, Charles Grodin. "
ECAG_RU,"Happy 85th birthday to former New Jersey Governor Tom Kean! Find photos, interviews, and documents from Governor Kean's two terms in our Kean Administration archive http://governors.rutgers.edu/on-governors/nj-governors/governor-thomas-h-keans-administration/"
BLMcKean,Happy 85th birthday to Charles Grodin! Found this inexplicable magnet of his cranky visage in Chinatown about 20 years ago and it has served me well ever since. 
LSNJ,"Wishing a very happy 85th birthday to New Jersey's 48th Governor and a 2014 Inductee of LSNJ's Circle of Honor, Thomas H. Kean: https://www.njejla.org/circleofhonor/ThomasKean #Kean #HappyBirthday #CircleofHonor #NJEJLA #NewJersey"
alec_behan,"Happy 85th Birthday to actor, comedian, author, and former television talk show host, Charles Grodin! "
MoviTees,"""Good acting is thinking in front of the camera. I just do that and apply a sense of humor to it. You have to trust the audience to get it."" Happy 85th Birthday to the great, Charles Grodin. "
BrettsBackyard,Happiest of Birthdays to Miss Tootsie. We are privileged to be so close to you and honored you stop by to eat our food. You are an inspiration to so many! Happy 85th Birthday!! The girls put a care package… https://www.instagram.com/p/B_P4RI2BHmB/?igshid=ctboqscckj32
ASuss49,"Happy 85th Birthday to actor/author/commentator Charles Grodin, here with Louise Lasser in 1978’s Just Me And You: "
thetexanist,And 99 years later the Queen of Texas Barbecue was born in Lexington. Happy 85th birthday to @snowsbbq’s Tootsie Tomanetz. https://twitter.com/thetexanist/status/1252609375342145542
NJPAC,"Happy Birthday to The Honorable Thomas Kean! The former governor of New Jersey was instrumental in developing the vision of the Arts Center and, although we can't celebrate in person, we send happy and joyful wishes to kick start his 85th year. "
TexasMonthly,"Happy 85th birthday to Tootsie Tomanetz, the legendary pitmaster of @snowsbbq. https://www.texasmonthly.com/bbq/a-week-from-turning-85-tootsie-tomanetz-misses-her-barbecue-family/?utm_source=Twitter&amp;utm_medium=Social&amp;utm_campaign=Web%20Social&amp;utm_content=TootsieTurns85"
meganinchitown,Happy 94th Birthday to Her Majesty Queen Elizabeth II! I was fortunate enough to see her (and Prince Phillip!) on her 85th birthday in 2011. 
GovMurphy,Happy 85th birthday to Governor Tom Kean! A great New Jerseyan and a dedicated public servant. Blessings to one of the all time greats.
