username,tweet
theGMell,Happy 72nd birthday dad. Can't wait to take this legend out for a bite to eat and a few red wines once this lockdown is over. Many happy returns to my Uncle Mike also. Twinnies 
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
NewtownLiterary,"Happy 72nd birthday to Charles R Johnson, author of the National Book Award for Fiction winning novel Middle Passage "
puentemuniz,"Happy, happy birthday to...Israel Join these soldiers for the world's coolest 72nd birthday party ever! srael's 72nd Independence Day Público · Evento · por Israel Defense Forces I Support Israel "
tishcavy,"@TheAntonDuBeke hey @TheAntonDuBeke my mam is a ma-hoo-sive fan of yours and it’s her 72nd birthday 24 April. Please, please, please could u wish her a happy birthday. It would totally make her day. Thank u "
inourexperience,Happy 72nd Birthday to Cathy Hughes the founder of the media company #RadioOne now known as #UrbanOne. She is the first African American woman to head a publicly traded corporation. #BlackExcellence #TVOne #OmahaStar #KOWH #TonyBrown #QuietStorm #InOurExperience #Blessed
dogmomash_,"Happy 72nd Birthday you old man, I love you more than you’ll ever know "
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
cess4evah,Happy 72nd birthday in heaven mama. I miss every little things about you. I miss you everyday! Sending my hugs and kisses to heaven. I love you 
ralfmedids,"ADVANCE HAPPY 72nd BIRTHDAY PAPA GOOD HEALTH PO SAYO PALAGI, GODBLESS POOOOO. MAKIKITA MO PA KONG GAGRADUATE AT MAGIGING SUCCESSFUL EXCITED NA KOO! "
Tweeter74238223,@Israel Happy 72nd birthday!
ninny0410,This Old Man Knick Knack Patty Whack.wmv https://youtu.be/ZZriZMijD7A via @YouTube Happy 72nd Birthday Larry Groce!
TimeForAFilm,"Wishing Carol Drinkwater @Carol4OliveFarm a very Happy 72nd Birthday. Have a good one, Carol! x #CarolDrinkwater"
ParkWestChicago,"Happy 72nd Birthday to the Godfather of Punk aka, @IggyPop ! Did you know he played 3 shows at Park West in the late 70s and early 80s? Here’s a handmade poster that used to hang on the walls of Neo nightclub. : Shelley Howard"
nayy_thugmisses,happy 72nd birthday sweet lady. I know your first party in heaven is lit sleep well 
ninny0410,"PAUL DAVIS ► '65 Love Affair 【HD】 https://youtu.be/KLbOs8j24KM via @YouTube Happy 72nd Birthday in Heaven Paul Davis - April 21, 1948 – April 22, 2008"
ravensegars22,Happy 72nd Birthday
fakespurrier,Happy 75th birthday to me! Three-quarters of a century of football excellence. It seems like only just yesterday I was talking about my 72nd birthday and how kids don’t hunt Easter eggs as aggressively as they used to. @mstinch79
frananadana,Beautiful. Happy Birthday! . I hope I’m out of lockup for my 72nd in May.
djthedj69,Happy 72nd Birthday in Heaven Ma’Dear. Wishing you were here today for even just a while. So I could say happy birthday and see your loving smile. The only gifts today will be the sweet… https://www.instagram.com/p/B_M7VurFXfpQsf_y8re9Tcc8o_W55c1aSMAUBM0/?igshid=1pejuu7lqxrn8
dixeydust,"Happy 72nd birthday to my gorgeous Mom!!! Have a great day, Mamathiiiita. While we can't be there to watch you blow out your candles, we are truly thankful and celebrate your life. Love… https://www.instagram.com/p/B_M2RPdpsxi1W01ygFZ8hOjb-_AE5WDeioeZb40/?igshid=2qrmog9kz28w"
ninny0410,American Pie https://youtu.be/iX_TFkut1PM via @YouTube Happy 72nd Birthday Rob Rothstein AKA Rob Stoner (bass)! *LOL interesting name for some born 4/20
ninny0410,Bob Seger & The Silver Bullet Band - Like A Rock https://youtu.be/fMIJuuk1SFs via @YouTube Happy 72nd Birthday Craig Frost (keyboards)!
slavia_eng," | Happy birthday to professor Jan Pirk! The head of Institute for Clinical and Experimental Medicine in Prague, who recovered from Covid-19 shortly before his 72nd birthday, never misses a chance to show his allegiance to our club. #slaviaprague"
LottieDay1985,Wishing my wonderful Mum a very Happy 72nd Birthday! I hope it’s as special as she deserves and we’ll celebrate together when this is all over xx 
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
1974Baseball,"Happy 72nd Birthday to Rick Miller! Rick wasn't a big hitter, batting .269 with 28 homers in his career, but he was an excellent outfielder and won a Gold Glove in 1978. He played his whole career with the Red Sox and Angels, and he's Carlton Fisk's brother-in-law. "
janebeesley1,Happy 72nd Birthday We love you. #vincentswan #whitegold #edwestwick #legend
MaracleMan,"Happy 72nd birthday to my wonderful mother, Mama Maracle! Truthfully wish the circumstances were better for our birthdays, but it’s still your day! Love you, mom! #HappyBirthdayMamaMaracle"
PicklePunchD,Happy 72nd Birthday @mayemusk and Kaye! Two lovely twins born in the prairies (Like myself) I cant wait to see what you get up to this year. Have an incredible birthday! 
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
masofiesta,Happy 72nd Birthday in heaven Mi Viejito Hermoso. 
DontakiRobinson,"""Ain't a woman alive that could take my Momma place "" Happy 72nd Birthday Tutts from the Cradle to the Grave! https://www.instagram.com/p/B_IcrNhDdU5etRaW64Syw8Ys-DexEtqvg27POo0/?igshid=szfeqmtxeuqt"
miss_sanjana92,"Happy 72nd birthday to this lady, grandma/ great-grandma Ruby "
ktothetwo,Today would have been your 72nd birthday. I can’t believe the years that has passed. I miss you every day. Happy Birthday Daddy.
chnsvl9_,"HAPPY 72nd BIRTHDAY MY SUPERMAN IM BEYOND THANKFUL NA MAGALING KA NA. SEE U SOON LOLO, MAHAL KITA "
HudgensMolly,"Today is the 72nd birthday of @CMOHfoundation @moh_chatt @MohMuseum recipient, Don Jenkins. Happy Birthday, Mr. Don, and thank you for your service to our country. #mohstrong http://www.cmohs.org/recipient-detail/3312/jenkins-don-j.php"
yawauuyyy,Happy 72nd Birthday Lola I Love you 
binibini_e,Happy 72nd birthday lala 
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
__HolyJello__,"When I grew up, I had a nanny, today is her 72nd birthday, I called her to wish her a happy birthday, she cried when she knew it was me, حبببيييببتي "
KAGSnews,The coronavirus pandemic couldn't stop Gary from wishing his wife of 33 years a very happy 72nd birthday. 
WFMY,The coronavirus pandemic couldn't stop Gary from wishing his wife of 33 years a very happy 72nd birthday. https://www.wfmynews2.com/article/life/heartwarming/lexington-man-surprises-wife-birthday-sign-nursing-home-window-accordius-health-care-gary-bebe/83-461d405e-1c44-4c74-bae4-436a00d15640
davidplastik,Happy 72nd Birthday to Keyboardist Jan Hammer. I took this picture in 1983 with Jeff Beck. #photographybydavidplastik #vintagemusicimages #janhammer #jeffbeck https://www.instagram.com/p/B_FcG9SHpNL/?igshid=196wwunzmls23
ninny0410,"graham bell - before you can be a man https://youtu.be/HL9xBildrcg via @YouTube Happy 72nd Birthday in Heaven Graham Bell - April 17,1948 - May 2,2008"
ninny0410,Jan Hammer - Crockett's Theme (Miami Vice) https://youtu.be/Lfgf9HatIHI via @YouTube Happy 72nd Birthday Jan Hammer!
molano_jay6,Happy 72nd Birthday Nay 
ManiTweets14,He Completed his : 100th Test Wkt ( 27th Test ) 200 ( 42nd ) 300 ( 58th ) 400 ( 72nd ) 500 ( 87th ) 600 ( 101st ) 700 ( 113th ) 800 ( 133rd ) TEST WICKETS ! 1st Test Scalp was C McDermott &amp; Last Test Scalp was Pragyan Ojha ! Happy Birthday MURALI ! 
SmokedUpGoddess,Happy 72nd Birthday to my father!! You survived Vietnam and raising me! You have made me who I am today. 
bryanmimsWRAL,"Great testimony of recovery from #Covid19. And what a story of faith, hope and love! I had this on ⁦@wralnews⁩ tonight. Happy birthday, Mr. Thornton. Recovered patient celebrates 72nd birthday :: http://WRAL.com"
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
lateblum,"Happy 72nd Birthday, Mom!!! "
CigargoyleMK,"It's is NOT just your mother's 72nd birthday, but please don't let her see this! and tell her I wish her a very happy birthday!"
HudgensMolly,"Today is the 72nd birthday of @CMOHfoundation @moh_chatt @MohMuseum recipient, Robert Patterson. Happy birthday, Mr. Bob, and thank you for your service to our country. #mohstrong #gobesomekidshero http://www.cmohs.org/recipient-detail/3380/patterson-robert-martin.php"
SPS_Family,"Happy 72nd birthday, @USAFReserve! We support you! #SPSFamily #WeSupportourTroops #service #sacrifice"
KenEdits,"Happy 72nd birthday, @USAFReserve!"
HelpathomecareN,Happy 72nd Birthday NHS from 1948! #NHS #nhs72 #nhsengland #happybirthday #thankyou #care #compassion #commitment #community #northtyneside
CJSaunders19,Your 9th heavenly birthday away from us. Not one gets easier. Happy 72nd Birthday. I love and miss you every day 
apocalynds,omg what an amazing drawing hahaha Happy 72nd birthday Chris!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
BFTP4780,"Happy 72nd Birthday to TV writer/producer/director #LindaBloodworthThomason! Bloodworth-Thomason is best known for creating the TV shows “Designing Women”, “Evening Shade” and “Hearts Afire”. https://www.instagram.com/p/B_BOWjIDHYH/?igshid=uibn0kry0z6z"
camspatio,Happy 72nd birthday dude! @bullysoowoo
CODE4Vets,"Happy 72nd birthday to the @USAFReserve! Thank you for always providing combat-ready reserve forces to fly, fight, and win! #airforcereservebirthday"
CarryWitchet,Happy 72nd Birthday #PhilMogg (born 15 April 1948) lead singer &amp; founding member of the rock band #UFO
GuitarRock_News,#RockersBirthday #hardrock #UfoBand #philmogg #classicrock Happy 72nd Birthday PHIL MOGG. 
AtelierRococo,Happy 72nd Birthday #PhilMogg ! I'm listening to UFO #PHENOMENON Deluxe Edition CDs &amp; Vinyls
ninny0410,"An American Symphony, full song https://youtu.be/Dmp92FUPNz4 via @YouTube Happy 72nd Birthday in Heaven Michael Kamen (composer) - April 15, 1948 – November 18, 2003"
BarwickYvonne,@UFO_rockband happy 72nd birthday today to the greatest Heavy Rock vocalist of all time 
nottco,"Happy 72nd Birthday Phil Mogg , born 15th April 1948 ""Doctor doctor, please oh, the mess I'm in She walked up to me and really stole my heart And then she started to take my body apart"" #UFO #philmogg https://youtu.be/n13OnyJSG_4"
kiansxstripes,"FOCK THEY GROW UP SO FAST :,( happy 72nd birthday crawford, ur old. i hope u have an amazing day, ty for everything u do for me, my friends, &amp; all the people around u. u rly know how to make me laugh when no one else can :,) i love you loser @CrawfordCollins"
StandWithUs,"Join StandWithUs in celebrating #Israel's 72nd Independence Day by sending us a video of you singing happy birthday to Israel, in your native language. Go to: https://standwithus.com/happybirthday"
rennersmith,"Happy 72nd Birthday Air Force Reserve April 14, 2020 "
VetRewards,Today marks the 72nd Anniversary of the U.S. Air Force Reserve. Happy Birthday! #AirForceReserveBirthday
adastral_trader,Happy 72nd Birthday US Air Force Reserve ! 
Vets4Warriors,"Happy 72nd Birthday, @USAFReserve! #AirForceReserveBirthday"
SarahRiggsAmico,"Wishing a Happy 72nd Birthday to the entire #AirForceReserve, especially all of our citizen-service members across GA!"
NationalVMM,"Happy 72nd Birthday @USAFReserve! Since 1948, it has been a critical part of our nation's defense. We honor the more than 82,000 men &amp; women providing #ReserveReady forces to Fly, Fight and Win. Honor their service https://bit.ly/2WI1B2s #Photo: @usairforce #TotalForce #NVMM"
paizis,Happy 72nd Birthday to the greatest College Radio Station in the country @WSOU. Joining @WSOUSports made me the proud @SetonHallAlumni I am today. My first broadcast at MSG vs. Final Broadcast after 6 amazing years covering @SHUAthletics #HALLin @HallCommArts
USAA,"Happy 72nd birthday to the Air Force Reserve Command. Whether deploying around the world or across the nation in support of today’s crisis, you are living up to your motto of providing combat-ready reserve forces to fly, fight, and win. "
iDreamBillions,Happy 72nd birthday to the best military branch in the world
SenHydeSmith,Happy 72nd Birthday to the @USAFReserve! #FlyFightandWin
USC_MVP,Happy 72nd Birthday to the Air Force Reserve Aim High. Fly. Fight. Win. 
