age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
67,1.25E+18,https://twitter.com/GeorgeStrait/status/1253368211862667267,GeorgeStrait,,"Guess that album! Released on this date in 1996, this album brought George three Number One Singles, including one that stayed on the charts for three straight weeks. ",2020-04-23 17:00:42+00:00,111,1279,,,1.25E+18
67,1.25E+18,https://twitter.com/GeorgeStrait/status/1253005846579220485,GeorgeStrait,,Happy Anniversary to Carrying Your Love With Me! Whose love have you been carrying with you through life? Tag them below!,2020-04-22 17:00:48+00:00,556,4334,,,1.25E+18
67,1.25E+18,https://twitter.com/GeorgeStrait/status/1250468970374795264,GeorgeStrait,,Do you remember where you were when you first heard a George Strait song?,2020-04-15 17:00:09+00:00,431,6541,,,1.25E+18
67,1.25E+18,https://twitter.com/GeorgeStrait/status/1249814149040943104,GeorgeStrait,WranglerNetwork,Hope you had a nice Easter!,2020-04-13 21:38:08+00:00,264,3321,,,1.25E+18
67,1.25E+18,https://twitter.com/GeorgeStrait/status/1249021354390818816,GeorgeStrait,,Happy Easter! You've found the hidden egg! Come join the Honky Tonk Hangout Facebook Group to learn more on how to win the Easter Egg Hunt!,2020-04-11 17:07:51+00:00,43,509,,,1.25E+18
67,1.25E+18,https://twitter.com/GeorgeStrait/status/1246120344504713221,GeorgeStrait,,"While you're working from home, share with us your favorite George song on your #WFH playlist!",2020-04-03 17:00:16+00:00,194,3017,,#WFH,1.25E+18
67,1.25E+18,https://twitter.com/GeorgeStrait/status/1245758008015171584,GeorgeStrait,,George's lead guitarist Rick McRae has a new tune to get you through the next few weeks. Check it out!,2020-04-02 17:00:28+00:00,57,351,,,1.25E+18
67,1.25E+18,https://twitter.com/CharlieWilson/status/1253403024740896768,CharlieWilson,,"Loved performing #ForeverValentine for y'all on @bet Saving Ourselves: Covid-19 Relief Effort special yesterday Let's continue to remember that this is only temporary, but the LOVE we spread during this difficult time is FOREVER #BETCOVIDRELIEF",2020-04-23 19:19:02+00:00,10,84,#NAME?,#ForeverValentine #BETCOVIDRELIEF,1.25E+18
67,1.25E+18,https://twitter.com/CharlieWilson/status/1253180823550885888,CharlieWilson,,"Thank you to the amazing couples (and Daddy/Daughter) who participated in dancing to #ForeverValentine on #BETCovidRelief @Tyrese &amp; Samantha, @MrRickyBell &amp; Amy, @NeNeLeakes &amp; @greggleakes, @DondreWhitfield &amp; @sallirichardson, @LeToyaLuckett &amp; Tommi, &amp; @Tip &amp; daughter Heiress.",2020-04-23 04:36:05+00:00,11,132,#NAME?,#ForeverValentine #BETCovidRelief,1.25E+18
67,1.25E+18,https://twitter.com/CharlieWilson/status/1253143358232383490,CharlieWilson,,Thank y’all for tuning into @BET and watching me perform for the ‘Saving Ourselves: A BET Covid-19 Relief Effort’ television special! #ImBlessed #ForeverValentine #Outstanding #KnockCoronaOut #BETCovidRelief,2020-04-23 02:07:13+00:00,16,146,#NAME?,#ImBlessed #ForeverValentine #Outstanding #KnockCoronaOut #BETCovidRelief,1.25E+18
