username,tweet
GeemmyBears,"HAPPY BIRTHDAY @laykawet Wish you all the best! God bless you always! Nandito lang kami, sabihan mo kami kapag may jowa ka na hahaha. RMT 2020 tayiz! See you soonest! Alam kong nandyan ka lang sa solana hehehe. Happy 22nd Birthday! My friend, My hero!! "
Iqra_2015,Happy 22nd Birthday to the baddessst bitchhh out there!! #Tayloryear @RidaAshrafi
_TheFilters,"Celebrating the 22nd anniversary of his birth [@sexyreuben] // He puts the “bod” in dadbod // [Bul]King since ‘98 // Choke me, Appa // HB[R] // #appapaale #anjing #tapis This is our rendition of Happy Birthday // On Soundcloud // Link in bio // Fuck your Happy Birthday song "
ddoitbest,happy 22nd birthday to my childhood bff love you so much skye. loved spending the weekend w you. 
lysol_lyssa,"@kyler012 Happy 22nd Birthday to my bestest mench, my person, my love "
NiNaaaaGee,"wow, happy 22nd birthday to meee "
sportspuffkenya,Happy 22nd Birthday Stade de Reims and Dutch International Kaj Sierhuis. 
Louiss_34,Happy 22nd birthday to the Love of my life you are such a strong beautiful phenomenal women and are gonna accomplish great things glad to be spending another birthday with you Mama's 
IoveIydeaton,happy birthday!!!&lt;3 i hope you have an amazing 22nd birthday girly
xDevhs,"Happy 22nd birthday in heaven brother, I love and miss you. @JacobShedlock5"
repashe,"Happy 22nd Birthday @TiernanAshe We love you!!@Mommy, Penny, Daddy &amp; @kyraashe1212 #QuarantineBirthday"
moctezuma151,Happy 22nd birthday to myself 
BoilerDad5,@julia_rayann26 Happy 22nd Birthday !! Hope you had a great day.
FionaAdorno,"If you are not experiencing #Sondheim90Concert in real time, you are truly missing out. What talent and joy to share with us all. Thank you to all involved and Happy Birthday to Mr Sondheim. (For 22nd of March) "
addilove14,Extremely thankful for these sweet friends of mine. Happy 22nd Birthday to MEEE 
badapplesong,Happy​ 22nd birthday 
SpiritWalk3,Happy 22nd Birthday Megan 
lwarwin,bwarwin Happy 22nd birthday to my baby boy who brings such joy to my life. You are one in a million and I’m lucky to call you my son. I cannot wait to give you a giant HUG!! #loveinthetimeofcorona https://www.instagram.com/p/B_d8KldjbWg/?igshid=2ez09rg3dxva
BestForMoment,Happy birthday! We’re just one day apart (mine is the 22nd). Almost twins! #GoalChat
donateblood71,Happy 22nd Birthday to my beautiful smart girl! 
thalwrites,"Was it the way she was dancing? Or was it how beautiful she looked tonight? Or maybe it was that birthday wish that he just couldn’t stop thinking about. All she wanted for her 22nd birthday was, “A kiss from my happy crush.” 14DaysTo James27B #OTWOLMostApprovedKiss2020"
Mr1derfulinMN,Happy 22nd Birthday to your daughter!!! :) 
_GeraldWho,Nice Happy birthday I just turned 37 as well on the 22nd
Javanna_,Happy 22nd Birthday to me I’m a whole quarantine baby out here 
lamaaaahmed,Happy 22nd birthday to me الحمدلله على ٢٢ عاماً من الستر والعافيه والأهل والصحبة الطيبة 
REBOOTMISHY,HAPPY BIRTHDAY @froynextdoor!! I HOPE YOU HAVE AN AMAZING 22nd!!!!
barrerate,"Happy Birthday McKenzie, I just had a birthday on the 22nd, nothing like April Birthdays."
NewsGutierrez,happy 22nd birthday to the one and only @froynextdoor! 
thisisnotbrian,Happy 22nd birthday to Kuya @yesitsNEIL !!!!!
WildfIowerVoI6,Okay I know there’s hella drama going on but it’s just turned midnight here soooo it’s officially my 22nd birthday!!!! I know it’s likely to get overlooked bc of things going on in the fandom but a few happy birthday wishes would be nice 
KaiOpp98,"I'm just a boy who's in with a girl who @caitrionambalfe &amp; all things #Outlander. Today is @Hazel498 22nd bday &amp; I'm stuck 7,835 away (#DamnCOVID). If you could wish her Happy Birthday I would be forever grateful. Thank you, Madam for your precious time."
nicnacsxz,Happy 22nd birthday cuddle bunchyyy 
CoachLeeLw,"Happy April Birthdays to the following Football Lancers! #51 Kevin Haines -22nd @__kevdog__ , #18 Connor Patterson-6th, #4 Colt Allen-2nd &amp; 8th grader Landon Fulton-20th! Hope you had an ELITE day of celebration with family!"
BeccaCollopy,"Happy birthday, @lysboi !!! I cannot imagine how many memories I’d be missing out on if I wasn’t blessed with your friendship. I love you and hope your 22nd birthday is amazing! "
darthswift13,did you sang 22 when you turn 22? i did and i cried like crazy — THE FUCKIN PRETENTIOUS ASS DJ AT THE BAR WOULDN’T PLAY IT AND I AM SALTY ABOUT IT TO THIS DAY but my friends have wished me a happy 22nd birthday every year since… 
Nasty_CSA,HAPPY 22nd BIRTHDAY GORGEOUS I LOVE YOU https://www.instagram.com/p/B_ddJ7ApzdQ/?igshid=1x8zzj4zyfw4w
JessWallerrr,happy 22nd birthday to my bff! love you more than words Can’t wait time celebrate soon!! 
HalPalRost,HAPPY 22nd BIRTHDAY TO MY FAVORITE ROMMIE @cwbushnell LOVE YOU!!!
GFuelEnergy," AYO!!! Join us in wishing the homie @Bini a very Happy 22nd Birthday!!! #FaZeUp, bruddah! "
SESvince,I just want to take this time to wish my Undisputed Mate @LIZZYSZN a Happy 22nd Birthday!! Can't wait for this whole mess to end so we can go be goofs at Wrestling shows again! 
D_Parks_,Y’all wish my friend @_brags_ a happy 22nd birthday 
LaBreskaM,Happy 22nd Birthday! I love you like crazy!! I hope you have a wonderful day https://www.instagram.com/p/B_dOkAAHNPg/?igshid=rtzz2lytg3xa
TreeoTheFlare,I’ll Never Forget The Day Lil Baby Was This Close To Telling Me Happy Birthday For My 22nd Birthday 
swamijohn,"on 22nd my birthday passed alone and I made a small cupcake as a BD cake, recorded me singing happy birthday and played it back mr bean style like it was a surprise. didn't taste real good so I gave it to the birds who were happy to eat it"
MelvinJacksonJr,Help me wish my son Melvin III aka Mj3 @BKTheArtist333 a happy 22nd birthday!!! To my first born. Son I am so honored to be your father and experience life with you. Through the good time and bad times one… https://www.instagram.com/p/B_dJT3hFjeH/?igshid=ky2wjm3y088j
nikki_carter36,@ArunKirupakaran Hi Arun. I just wanted to wish a very happy birthday for Wednesday 22nd April.
MakayMitsos,HAPPY 22nd BIRTHDAY YOU SEXY MAN 
analsmasher420,Happy 22nd Birthday best friend!! @dustydick69
ronaldlirumo,Happy 22nd birthday @Tsebishi_
AlishaChea,happy 22nd birthday to me 
BetaPhi_AKA,Happy 22nd birthday to our sister Lauren! We wish you smiles for every moment of your day. We love you @lauren_alyssa1
EmeldaMarie34,Happy 22nd birthday @dionne__ashleey I love you so much!! and miss you so much dude. Black out tonight.
aishahhirah,"happy 22nd birthday sweetheart a year older ,a year wiser hor so sad cant celebrate your birthday this year nvm next year i give you BIGGGGG surprise okie hope you love your gifts baby !! i love u zuhaily "
22nd_oclock,@_subbomi happy birthday g
qveenCay_D,Happy 22nd Birthday Boo @KylaNichole_
BradKCTV5,Happy birthday Brock!! Nothing better than celebrating your 22nd at home with your Mom and Dad. 
