username,tweet
KawainLightning,Mom was surprised!! Happy (Early) 64th Birthday Mom!!! #QuarantineBirthday greenetea1 https://www.instagram.com/p/B_dIVecJTk_4Frl00oaCAMvj-v7euwlb1rY4XY0/?igshid=jisel4gkt9ff
KawainLightning,Mom was surprised!! Happy (Early) 64th Birthday Mom!!! #QuarantineBirthday https://www.instagram.com/p/B_dIOtRpWBz4MOkAih9uVjVPm1hPXxoW8DUzzg0/?igshid=10hz42r0jz3ze
KawainLightning,Happy( Early) 64th Birthday Mom!!!! greenetea1 #HappyQuaratine64thBirthday #Quaratine https://www.instagram.com/p/B_dID0JJDP4_Hv1vqOdx2zCadnT5tCQhatrvYk0/?igshid=6ycu3hp5dnsz
sharpeangle,"Happy 64th birthday to @BobBlackman, Conservative MP for Harrow East - I met him in a @WilliamHill betting shop in Harrow Weald, where he placed a Grand National bet on behalf of his nominated charity."
nyleinraalab,"happy 64th birthday my man,eto yung sinabi mo sakin “pagluto mo ko pag laki mo bunso” eto na yon pa oh tinupad kona hahahsh iloveyou pa,araw araw kitang minamahal even though wala kana sa tabi namin imissyousomuch ;(( "
MrSamuelAllen,"@fakingstarwars @LinkVoximilian @JediNewsUK @starwarstuff @starwars247info @StarWarsAbsolut Happy 64th Birthday to #KooStark, she played Camie also in #StarWars #ANewHope. Her scenes didn't make it into the final cut. May she have a good one."
leannet2711,"It's my mums 64th birthday today, I've sent her some flowers and cards it's tough today, she has terminal cancer and she was due to start a trail drug in london but they have held it back because of the virus i want to give her a hug cant do that either Happy Birthday mum "
mikeparry8,"In 1981 The Daily Express ordered me ""FIND KOO STARK"" new erotic actress girl-friend of Prince Andrew. 6 days later me and photog lay in wait as she got off a motorbike at mid-night in Earls Court. Flash/Bang .. 1st ever pic of her .. Fleet St finest .. Happy birthday on her 64th "
AriaaJaeger,"@BoyGeorge Boomer you follow me but you never write, you never say hello, you don't joke with me anymore, must I transition into a gay man to get a simple Happy 64th Birthday from you? (May 1) "
TReese82,Happy 64th Birthday to Actor Michael Wright!
DaysTwins,Happy 64th Birthday to former #MNTwins RHP Larry Pashnick. He debuted with the Tigers in 1982 and played two years there. Traded to Twins after 1983 season. Pitched in 13 games for the Twins in 1984 and was 2-1 with a 3.52 ERA in 38 1/3 innings.
Lioness8119,"Happy 64th birthday to my mama, Karen J. Lewis, Sr. She is missed beyond measure and will be loved beyond time. Celebrate the day! She always did! https://www.instagram.com/p/B_YMrVmg0V5/?igshid=ycvmy5bztucy"
khoihukchao,Happy 64th Birthday Dad https://www.instagram.com/p/B_YLU60jZMvQqpQTxVWCiFIKE6h4MgoYSZoBf40/?igshid=txcz3821l4dq
marinaa__g,I feel so bad for my mom she has to spend her birthday in quarantine /: but happy 64th to my bestfriend 
supermhafe30,"Happy 64th Birthday in Heaven Mommy, Imissyou so much and Iloveyou. It's been 3 years pero sakit gihapon batunon nga uwa ka eon. ILOVEYOU MOM @Badio, Aklan, Philippines https://www.instagram.com/p/B_XTx1ugz5dBjlqWK6gg4pF6_AiKQVI9lt0_ok0/?igshid=1vevuyxdf5c2r"
YasmeenHarrell,"35+ years on the job. WOW! Happy 64th Birthday MAMA. Despite working countless hours over the past few months with everything that is going on, I want you to know that your hardwork is not only appreciated but critical and your contribution to us is immense. #HealthcareHeroes"
CoachKing038,Happy 64th birthday to my amazing mother! You have always believed in me when things seemed stacked against me. Love you always Mama! 
JasonBeck82,"Happy birthday to @BCSportsHall Honoured Member: -Greg Joy (64th - 1956) Athlete, Athletics One of Canada's great high jumpers, Greg is best known for winning a silver medal at the 1976 Olympics in Montreal. Read Greg's bio here: https://bcsportshall.com/honoured_member/greg-joy/"
alagangtoxtick,advance happy 64th birthday lola always remember that iloveyousomuch muawps 
MichelleCaritas,"Happy, 64th birthday @caritaschile! https://youtu.be/HCTunqv1Xt4"
mnamanya,"Belated Happy 64th Birthday Rtd Col @kizzabesigye1, you were born in Rwakabengo just three days after my late dad who was born in Buhunga"
JustusOyite,Its not too late to wish @kizzabesigye1 a happy 64th birthday. Your the Soldier of Democracy in Uganda Sir! Happy birth day Mr. President. 
wthballs,"Happy 64th Birthday to former pitcher Moose Haas!!! Here's my ""missing"" 1977 card from the blog to celebrate. @Brewers @70sBaseball"
UgandanHistory,"We hope that you enjoyed your birthday @kizzabesigye1 ! Happy 64th! Good luck in your endeavors! Here’s one from the Archives, Sir! Photo: Daily Monitor. "
JKabuleta,Never too late to wish @kizzabesigye1 a happy 64th birthday. Soldier on Sir! 
ayshamusanai,Happy 64th birthday col Dr
AmootiJozzy,Happy 64th birthday Rtd Col. Dr. @kizzabesigye1 Amooti
