username,tweet
wrestlewnumbers,"Happy birthday to John Cena, a man who although not visible is one of the all-time best! 71% overall wins (82nd pctl) 60% on PPV (89th pctl) 74% on TV (79th pctl) Total Matches: 706 (9th all-time) He is is a high bar for sure and pretty darn good! #wwe #HustleLoyaltyRespect"
romalynjover,"Happy birthday to the biggest inspiration in my life, my smile maker, and my superhero! iloveyou tay!! you are my best Lolo!! happy 79th birthday tay!! "
staff1973,#BigNightIn hi to Button Gramdma. Happy 79th Birthday. Sorry we can’t be with you. Love from Granddaughters Jessica &amp; Olivia Stafford xx
MikmaqAngel,Weli Ajipuna Mikiju Becky Happy 79th Birthday to our grandmother Becky today 
PPapillera,Happy 79th Birthday in heaven Papa(lolo)! 
GottaSaveBucky,"Happy 79th birthday, Dad. I miss you. "
SDJonesie,My mum is walking 26 miles for her 79th birthday for @HeadwayUK Headway - the brain injury association. Check out my @JustGiving page &amp; wish her a happy birthday by donating if you can. Thank you! #JustGiving #twopointsixchallenge
Miss_VMarie13,Happy 79th birthday Papa! We love you so much. _ Today my papa spends his 79th birthday lying in a hospital bed alone. He is currently in isolation being checked for coronavirus per… https://www.instagram.com/p/B_QeRqfJYUC9XPVJpBaum_vQQ_BavNxkenCXj80/?igshid=1nrrb57cacmbc
Miss_VMarie13,Happy 79th birthday Papa! We love you so much. _ Today my papa spends his 79th birthday lying in a hospital bed alone. He is currently in isolation being checked for coronavirus per… https://www.instagram.com/p/B_Qd2UYJ9uTkWwNMcl03aGAYn9l7MtXxjWSUT80/?igshid=ta2nqi8f1vhp
wthballs,"Happy 79th Birthday to former infielder Dick Green, who got shafted by Topps with this photo on his 1973 card. Thanks for nuthin'! @Athletics @70sBaseball"
Moo_Care2,"@coolmma @Riley650 @briannecarter_ Happy 79th Birthday to Ryan O'Neal! Two classic people and a damn good movie too. I love the movie, one of my fav. It's a tearjerker indeed. "
seyiagara,Happy 79th Birthday to My Father in-law 
ninny0410,"Loretta Lynn And Conway Twitty - Louisiana Woman Mississippi Man https://youtu.be/Rm5-sZLBPfs via @YouTube Happy 79th Birthday in Heaven Jim Owen (songwriter) - April 21, 1941 – March 7, 2020"
Mz_Tosyn,Happy 79th birthday to my father next year we turn up in Sha Allah 
__tee__3,happy 79th birthday to my great grandma i love you froggy
ravensegars22,@Ryan_O_Neal Happy 79th Birthday
BFTP4780,"Happy 79th Birthday to actor #RyanONeal! O’Neal is best known for the TV shows “Peyton Place” and “Bones” and for the films “Love Story”, “What’s Up, Doc?”, “Paper Moon” and “Barry Lyndon”. https://www.instagram.com/p/B_OGeRsDd7K/?igshid=849wdkqfwxrk"
ehbaybay_32,"Happy 79th birthday to the most beautiful, Christian soul I've ever known. If I can ever be half the woman you are, I'd be doing pretty well. Glad @ineedatut and I could give you flowers… https://www.instagram.com/p/B_ODm4QHoyRE_mt4922C3uFo_FLmFewhqZFQ140/?igshid=1ooy6h5ji3tkq"
_daveyH,"Happy 79th Birthday to Ryan O'Neal, seen here on the set of BARRY LYNDON (1975), WHAT'S UP DOC? (1972), and PAPER MOON (1973). #BornOnThisDay"
byobrii,"Happy 79th Birthday to my grandfather , he strong!! #arribamichoacan"
