username,tweet
CapedWonderJim,"Friday, April 24, 2020: Happy 90th Birthday to Director &amp; Friend, Richard ""Dick"" Donner! So grateful for this incredible man! #richarddonner #richarddonnersuperman #thegoonies #lethalweapon #supermanthemovie #superman1978"
Brenda32395182,Happy 90th Birthday and Happy Retirement Dep. Dewight Thomas. Hope he had a wonderful day. Congratulations.
mulugetaermias1,"A father of Geography, politician, believer, man of his words. Prof #MesfinWoldemariam is turned 90. Happy 90th birthday prof and we salute you for your service. "
SgtCHampton,Elderly man reluctant to go into store due to #PhysicalDistancing asked if I could buy a @theprovince newspaper for him. I was happy to and didn’t take the money he offered. It turns out he’d just celebrated his 90th birthday! We all need to look out for each other.
sawanoya,"Happy 90th birthday to the director Richard Donner - the man behind such hits as The Omen (1976), The Goonies (1985) and Lethal Weapon (1987). Just reading The Making of Superman (1978), recounting the film’s long eventful production between Europe and North America. #DickDonner"
PopHorrorNews,Happy 90th birthday to prolific voice actor (Skeletor himself!) and SIX MILLION DOLLAR MAN star Alan Oppenheimer! 
BSUFoundation,"Loved seeing this video of the community wishing long-time @BallState supporter, Pat Schaefer, a happy 90th birthday! #ChirpChirp"
kuchiye,"un-submitting to the temptations of power and money; these are his hallmarks. Happy 90th birthday professor. We owe you, Ethiopia owes you! "
primon4723,"Happy 90th Birthday to Alan Oppenheimer, the voice of Autobot Beachcomber, Warpath, Seaspray, and Decepticon Stunticon Breakdown from the Transformers G1 Cartoon. #Transformers"
bandmcare,"Sharing her special day with that of our patron saint, White Plains wishes resident Sheila many happy returns on her 90th birthday, with highlights including: a handmade 'celebrations' cake; many a card and well-wish; and above all, some warm-weather respite. #HappyBirthday"
pamwebbvas,Happy 90th Birthday today to our legend of a Mum today! #BigNightIn
MarjoleinTempl2,Big thanks to all the Billesdon buddies supporting my elderly parents also Happy 90th birthday to my dad John Fox #TheBigNightIn
Whittaker89,"A massive happy 90th birthday to grandad Ken. We love you and cant wait to celebrate. Lots of love the Rose's, Fields and Anforths x x x x x #BigNightIn @ThisisDavina @LennyHenry"
HurnKaren,Please can you wish Valerie Clymo from Cornwall a very very happy and special 90th Birthday on Monday - she is such a wonderful inspiration to us all x x x thank you so much #TheBigNightIn
HannahCowen81,Happy 90th birthday tomorrow to my amazing nanny Jean and also to my big brother Ben. Missing you all. Love Hannah xx #BigNightIn
anjlfan,@alroker hi Al. Love watching you broadcast from home. My mom is turning 90 on May 3. My big Irish family can’t be with her . We are putting together a video of 90 birthday wishes. Any chance I can get you to do a quick happy 90Th Marilyn? Thanks for considering
TCMoriku,A VERY Happy 90th Birthday to #AlanOppenheimer !! You have voiced my childhood and I wouldn’t be who I am without your wonderful voice! Thank you for being an amazing inspiration in my life!
AddictedHe,"This is freaking awesome, I love your Skeletor cosplay and I'm so jealous of you right now for getting to meet him but I'm so happy that you did!!! Today is his 90th birthday so don't forget to send out a tweet. Here's my autographed MOTU ReAction Skeletor figure. "
AddictedHe,"Happy 90th birthday to the legendary and one of the greatest of all time, Alan Oppenheimer. Here's my MOTU ReAction Skeletor figure autographed by the man himself! It's one of my holy grail pieces in my MOTU collection. #HappyBirthday #AlanOppenheimer #Skeletor #Legend #GOAT"
AddictedHe,"Happy 90th birthday to the legendary and one of the greatest of all time, Alan Oppenheimer. Here's my MOTU ReAction Skeletor figure autographed by the man himself! It's one of my holy grail pieces in my MOTU collection. #HappyBirthday #AlanOppenheimer #Skeletor #Legend #GOAT"
MsSaxon_NCCAE,"Happy 90th Birthday to my GrandPa John Wesley Bush Sr! Not the way we would've loved to celebrate w/ EVERY1 today but he's here in Charleston Up, Alive &amp; Well &amp; laughs when I say he has to live longer than my other GrandPa who was 95! EnJOYs Bonanza, Sanford &amp; Sons &amp; Seafood! "
ASuss49,"Happy 90th Birthday to actor and voice actor Alan Oppenheimer, here with so many of his animated voices: "
ian_845846,Happy 90th birthday Harry! A true testament to the life giving power of whiskey!! Have a great day!
