username,tweet
sbucks1,@HKane please make my boys 21st special on the 28th and wish him a Happy Spurs Birthday @justinbuckley1 #lockdownbirthdays #tottenhamhotspur
Alayne64744727,"https://open.spotify.com/episode/3la0aa7lWqrf9DWa5R32Hh?context=spotify%3Ashow%3A4JVZBDTx6yhtpdWNofqBF3&amp;si=7Z8t-IVLSHq57OO_xW5bLw. GRAYSON! Hi . It’s going to be my best friend’s birthday on the 28th and it would be absolutely fantastic if you could wish her a happy birthday on your podcast. My friend, LeeAnna Myland, is a huge fan and is in love with you. PLEASE. @MylandLeeanna"
Alayne64744727,"https://open.spotify.com/episode/3la0aa7lWqrf9DWa5R32Hh?context=spotify%3Ashow%3A4JVZBDTx6yhtpdWNofqBF3&amp;si=g3KHcrVVSK-OE60Q-PqM9Q. Grayson! Ethan! Could you PLEASE give my best friend LeeAnna Myland a shout-out on your podcast? It’s her Birthday on the 28th and it would be fantastic of you to wish her a happy birthday. PLEASE, PLEASE, PLEASE?!?!?! @GraysonDolan @EthanDolan"
MichelleTheDrmr,@markiplier can you wish my husband @drmlnr1 a happy birthday his birthday is April 28th it’s mean a lot to me
MichelleTheDrmr,@Jack_Septic_Eye can you wish my husband @drmlnr1 a happy birthday his birthday is April 28th
lamurik,Who is that guy? She looks so “happy” on her 28th birthday. I like how her new last name “Beard” 
liamchapmoon,"Granddad also wished me a happy 28th birthday, which is close but ya know, not quite there Granddad but I appreciate the effort."
ielevateindy,"Since we can’t do it in person, we wanted to virtually shout out some of our Westside April birthdays! Happy Birthday to Chassidy (6th), Ms. Moreno (12th), Brittany (14th), Aaron H. (March 15th), Darrial (20th), Mr. Story (26th), &amp; Mr. Johnson (28th)! #elevateindy #aprilbirthdays"
MsTeraLHopkins,"@doncellasuicide @Almairis__ Hey, Doncella! I know it's so far and few between I Tweet you or anything, but today I hope you are having a WONDERFUL HAPPY 28TH BIRTHDAY RIGHT NOW! I know these times we are living in are uncertain and scary, but I hope you &amp; your family... (con'd)"
VoxyTwitch,Happy 28th birthday to me 
thecatcafe2,Happy Birthday to the love of my life. I'm happy I met you at Twitch Con. I'd do this roller coaster all over again if I could. Love you with all my heart. Happy 28th ya turkey! -@ItsLittle_Latte
rcude93,Happy 28th Birthday to Sportsbeat. The Longest running Sports Show in West Tennessee and one of the oldest in the State was started in 1992 by Dave McCulley. Currently airing on the @Victory937FM I have been blessed to host this nighty show for the past 20 yrs. 
scarnevale30,"Happy 28th Birthday to this beautiful gem!! Happy to call you a friend and Blessed to call you a sister From Orlando and N.Y.C to Mexico, to all the times you helped watched to boys… https://www.instagram.com/p/B_SrtoBAIoCePoet-I6MGMwVsmIs6FkIXLBJbU0/?igshid=fym9bu8tk7zm"
scarnevale30,"Happy 28th Birthday to this beautiful gem!! Happy to call you a friend and Blessed to call you a sister From Orlando and N.Y.C to Mexico, to all the times you helped watched to boys… https://www.instagram.com/p/B_SrtoBAIoCePoet-I6MGMwVsmIs6FkIXLBJbU0/?igshid=iy992un0xk5a"
griffinmcelroys,omg coach’s birthday was on the 29th and i kicked him out last night for ava and apparently avas is on the 28th...
dantefucker,blini cat turned 9 today happy birthday blini cat https://www.instagram.com/p/B_SbyIgjZAl/
MattDeRamo,Happy 28th birthday to my absolute best friend! Thank you for all the great memories we have together. Love you very much and I hope you have an amazing birthday https://www.instagram.com/p/B_SjYB4JNTe/?igshid=n2ijajf4jgrj
pauuha,Happy 28th birthday to you! Thank you for being a great partner all this while and hopefully in future as well. May Allah bless your kindness towards everyone around you! &amp; see you very soon once MCO is lifted @luqmanalewi
50TysonOfficial,"50 Tyson Say's Happy 28th Birthday To David Trefethren &amp; devonsharkbaitbrown @Minneapolis, Minnesota https://www.instagram.com/p/B_SgNaqh5up/?igshid=36wbl6vccpoh"
crunchyycoconut,Happy 28th birthday selfie to me! #itsmybirthday #EarthDay #birthday #WWG1WGA
careykirijo,"happy 28th birthday to my future wife, @froonding_loom, who I started talking to SEVEN YEARS AGO on Twitter. you are so, so much more beautiful in person than I could have even dreamed of, and I love my life with you more than I think I can put words to."
mattieladawn,@OhHappyKayy happy birthday beautiful 
justaddwine1,No Birthday gift will ever top the one that I was given 28 years ago! Happy 28th Birthday @heavyxthoughts Your Mother loves you! #birthdaygift #weshareourbirthday #https://www.instagram.com/p/B_SaEIAFuVi/?igshid=bwogbr8mn2tn
EGraziani1,Happy 28th birthday to my beautiful daughter Julia! #LOVING #loveyou #HappyBirthday
