username,tweet
BreakingBadtwt,Happy 62nd birthday Giancarlo Esposito! @quiethandfilms
ClaudiaS1021,"I don’t have any new pictures and with everything going on, I wasn’t able to go see you this year. You’ll be the first one I go see when this has cleared up. I promise. Happy 62nd Birthday, dad. I miss you. Keep watching over me "
john_sefner,"Happy Birthday! I’m just a few months away from my 62nd. Good thing I hate parties, because nobody can make me have one this time!"
alec_behan,"Happy 62nd Birthday to Giancarlo Esposito! The actor who played Gus Fring in Breaking Bad and Better Call Saul, Moff Gideon on The Mandalorian, and voiced Akela in The Jungle Book (2016). "
DianneMelise,Happy birthday!! My 62nd was yesterday!! 
Breakbadquotes,"Happy 62nd Birthday to the man who made Gus Fring such a great character, Giancarlo Esposito. #breakingbad"
engberts_j,"Happy 62nd birthday Jeff, hope you'll have a great day!"
420MacMan,So it's my Moms 62nd Birthday today Extremely weird not being able to take her out to Eat or Shopping somewhere. She has been an Amazing Mother to 4 of us Idiots &amp; my entire useless Family. Love Ya Moms Happy Sunday Everyone Hope U Enjoy Ur Day !!! 
ajkberg,Happy 62nd Birthday to former @BuffaloBills Robb Riddick. This pic was taken back in 1988 #GoBills #BillsMafia
FarOutToysInc,"Happy 62nd Birthday to The Mandalorian's Giancarlo Esposito! ""My advice for achieving success is to make a career choice that reflects your passion."" "
olivo_escamilla,Happy 62nd birthday to my king! #Dad
GeorgeSchmidt67,Happy 62nd Birthday to GIANCARLO ESPOSITO 
JMBEuansSon,Happy 62nd birthday to Giancarlo Esposito @quiethandfilms
MrSamuelAllen,"@fakingstarwars @LinkVoximilian @JediNewsUK @themandalorian @Jon_Favreau Happy 62nd Birthday to @quiethandfilms, he played Moff Gideon in Disney+ live-action TV series, #TheMandalorian. Follow him also on Facebook https://www.facebook.com/OfficialGiancarloEsposito/ &amp; Instagram https://www.instagram.com/thegiancarloesposito/?hl=en."
KH13com,#BDayKH Happy 62nd Birthday to Paul St. Peter (@RealPaulStPeter)! He is the voice actor for Xemnas in the Kingdom Hearts series! http://kh13.com http://kh13.com/discord
F11980s,"A Happy 62nd birthday to John Colom Crichton-Stuart, 7th Marquess of Bute, aka Johnny Dumfries. Dumfries took part in 15 Grand Prix with Lotus during 1986. His best F1 result was 5th place at the Australian Grand Prix. © Motorsport Images #OnThisDay"
TReese82,APR.30 B-DAYS:Happy 62nd Birthday to Rapper Wonder Mike!
fm_tweeter," HAPPY BIRTHDAY to Fish from #Marillion who celebrates his 62nd birthday today! Since his Marillion days, Fish has continued as a solo artist in the music business and is a part-time actor. #Lavender - Marillion https://youtu.be/ZTdOMV-yTRg #Music "
Ashika_MsCali,Want to wish my beautiful mother Happy 62nd Birthday and I love you with all my heart https://www.instagram.com/p/B_akN94glcH/?igshid=19pk34cyhl5zy
SaucySerb,Happy 62nd birthday to this Angel 
paul_sailer,"It's my 62nd birthday, my wife greets me with happy birthday and a cherry pie, and then the dragons arrived."
TokyoGlamour,Happy Birthday 62nd birthday to my Mommy!! 
BigTrilla202,Happy 62nd Birthday to a queen my beautiful momma you officially a Ol head and still spinning circles around the youngins I love you enjoy yourself #Socky #Rascal #MyTwin… https://www.instagram.com/p/B_aAe4ShE87ip47CI3cuX-224q9Hfvq1ZVy4HA0/?igshid=czodcixff835
lizziechit,"Happy 62nd birthday to my dear momma. This year, she is celebrating with Aunt Becky. It gives me some peace and comfort to know they are together again. Not a minute goes by where I don’t miss her and think about… https://www.instagram.com/p/B_ZzTBiBYRN/?igshid=52mle8cpo2rv"
JMBEuansSon,Happy 62nd birthday to Dalkeith Child @FishDerekDick
ninny0410,"Lavender - Marillion https://youtu.be/ZTdOMV-yTRg via @YouTube Happy 62nd Birthday Fish (lead singer, lyricist)!"
ThatAdamCagley,"I confused my Cameo and OnlyFans accounts today. Happy 62nd birthday, Helen! Thanks for watching Shameless!"
nottco,"Happy 62nd Birthday Derek William Dick, aka Fish, born today 25th April. ""I was an arsehole"" https://www.loudersound.com/features/i-was-an-arsehole-fish-opens-up-about-the-past-and-where-he-s-headed-next"
cherJo_18,"Happy 62nd Birthday Mama, I Love You!! "
PrayerTrump2020,"Today I celebrate my 62nd birthday. Wow! I'm actually 62 &amp; looking like I'm 40. But that's bc of God's grace. I can only give Him all t glory for good health, loving child, great friends, partners, social media friends &amp; loving family members. Thank y, God! Happy Birthday to me!"
dodgers_cards,"Happy 62nd birthday to Bill Krueger. Krueger spent just over 4 years with the As before being traded to the Dodgers. He spent 2 of his 13 MLB seasons with LA in 1987 and 1988. He went 15-5 with Albuquerque in 1988, as well. He is currently a TV analyst for the Mariners. "
dalehauskins,"Happy blessy 62nd Birthday to Derek William Dick aka Fish @FishDerekDick of @MarillionOnline. I witnessed your interesting live chat, and hearing your new original “Grace of God” unique material today. (I never knew as a Scotsman how affluent you are, and own a stunning house.)"
Tru_Hauntings,Today is my mom's 62nd birthday. Can she get some love. She will be grateful shocked and happy. Just dont give her a heart attack. Lol.. I hope you see this Mr. Bill. 
Tru_Hauntings,"Today is my mom's 62nd birthday. And she loves doing crafts. If you would like to show her some love she will be grateful, happy and in shock. http://paypal.me/teresabonilla58"
TReese82,APR.29 B-DAYS:Happy 62nd Birthday to Movie Actress Michelle Pfieffer!
project5am,Happy 62nd birthday @WFMU very honoured to have my sounds featured on this awesome station
clavendr,"Happy 62nd Birthday to @WFMU today, makes total sense the station is a Taurus, omg."
DaysTwins,"Happy 62nd birthday to former #MNTwins LHP Bill Krueger. He came to the Twins as a free agent before the 1992 season. In 27 starts, he went 10-6 with a 4.30 ERA in 161.1 IP. Traded to Expos at Aug deadline. He played for 8 MLB teams over his 13 big-league seasons from 1983-1995."
nailheadparty,WFMU started broadcasting on this day in 1958. happy 62nd birthday @WFMU!
DyerTravers,"Happy 62nd birthday to this amazing woman - my mum. Time is already precious as it is but she’s determined isolation is not going to spoil her day. Counting down the days until she can hug the life out of us all, especially the grandchildren. Always the optimist "
sexybrew,Happy 62nd birthday mudra. More birthdays to come.. We love you. #ecqbirthdaycelebration https://www.instagram.com/p/B_WtkdVnm09mbzx-ngUYsE3YSOPIecg8cNS9yU0/?igshid=qnlzbggv9c0t
BothamSolutions,Happy 62nd birthday @MrCliveC
VintageCanucks," Happy 62nd Birthday to Ryan Walter Former Washington Capital, Montreal Canadien, Vancouver Canuck and Stanley Cup Champion. @jennijingles"
alyssa_vicedo,"Happy 62nd Birthday, Amaaaa!!! "
