username,tweet
jeffkirk1991,I'll go 1 more step: 1st and LAST concert I attended: @CharlieDaniels June 1980 &amp; November 2019. Standing right in front of him singing happy 84th birthday while Gretchen Wilson held the cake.
SibusisoSithebe, Happy 84th Birthday To My Late Mother Anna M. Sithebe I Will Always Remember You I Miss You Dearly I You R.I.P. Your Son Sbu 
DaltonTucker5,"Happy 84th Birthday, Roy Orbison! Roy Orbison (1936-1988) #RoyOrbison #solocareer #TheTravelingWilburys #1960s #1970s #1980s #rock #pop #country https://www.instagram.com/p/B_U3pfEHjPd/?igshid=q33i0dbyp81z"
ferrillzgirl,"Happy 84th birthday to the BEST MOM IN THE WORLD!!!! She’s generous, resourceful, creative, kind, hospitable, strong, lively, and oh so lovely! I love her so much! "
ninny0410,"Roy Orbison - You Got It (Official Live Video 1988) https://youtu.be/lvR1YgT7QYs via @YouTube Happy 84th Birthday in Heaven Roy Orbison - April 23, 1936 – December 6, 1988"
CO_Bamafan14,"Today would’ve been my Papa’s 84th Birthday. We used to tell him Happy BEarth day. He was the King of the dad joke, and his birthday coinciding with a holiday where we could use puns was the best. I love you Papa I hope you and Dad are fishing in paradise."
KingValhalla_FC,"Today is also my Daddy’s birthday, i called him at exactly 12AM to pray for him and he was so happy. 84th look so good on him. I’ll post his picture by day break . Uncle P na my G #StilllRise"
AoifeMk_,Wishing my Granny a very happy 84th birthday today from her living room window. Not our usual celebration but looking forward to a big hug and a bigger glass of Prosecco when this is all over #COVIDー19 #InThisTogether
MarsdenS1970,Happy 84th birthday to @GlenCampbell the greatest country artist that ever lived.. 
leeharnessmusic,Happy birthday to @GlenCampbell on what would've been his 84th birthday! What is your favourite glen Campbell song?
ninny0410,"Glen Campbell - William Tell Overture (smokin' instrumental) https://youtu.be/GUBhE00h9U0 via @YouTube Happy 84th Birthday in Heaven Glen Campbell - April 22, 1936 – August 8, 2017"
AMBATISUDHAKAR1,"Happy 84th Birthday Justice MN.Roa Former Chief Justice of Himachal Pradesh &amp; Former Chairmen National Commission on Backward Classes Justice Sri Makani Narayana Rao Regds A L Mallaiah Ex Chairmen AFCOF, Telangana State Fisheries Co-op, Societies http://Fed.Ltd."
