username,tweet
FlashScoreUK,"Happy 33rd Birthday, @DavidLuiz_4! "
socapatriots,HAPPY 33rd BIRTHDAY: @JohnObiMikel1 Super Eagle Premier League FA Cup League Cup Community Shield UEFA Champions League Europa League Afican Cup Of Nations Chelsea Young Player Of The Year #soccerpatriots #GiftedEra
madeline_rome,"Happy 33rd Birthday to my handsome hubby! He's tough, determined, constantly learning, and constantly striving the be the best he can be. Thanks for being the complete opposite of me! (LOL!) Now, let's get ice-cream wasted with the 3 little ones! "
GbadmanN," Africa Cup of Nations Premier League FA Cup League Cup Champions League Europa League Community Shield Happy 33rd birthday, @mikel_john_obi! "
sbogirly,Happy 33rd birthday to my brother! 
Bsnsports4," Africa Cup of Nations Premier League FA Cup League Cup Champions League Europa League Community Shield Happy 33rd birthday, @mikel_john_obi! "
MancakLavigne,happy 33rd birthday p @nameraiva .. love you p name ..
niyi7busari," Africa Cup of Nations Premier League FA Cup League Cup Champions League Europa League Community Shield Happy 33rd birthday, @mikel_john_obi! "
CarolRadull,Happy 33rd Birthday to John Obi Mikel. AFCON Premier League FA Cup League Cup Champions League Europa League Community Shield #TheScoreKE
Abdirizaqhassa6,Happy 33rd birthday David enjoy your day 
Khahil_, Happy 33rd Birthday to John Mikel Obi Chelsea Career Games Assists Goals FA Cup Premier League League Cup Champions League Europa League Africa Cup of Nations #CFC Young Player of d Year Community Shield
sportzcraazy,Happy 33rd birthday @DavidLuiz_4 Premier League Champions League FA Cup Europa League #HappyBirthday #HappyBirthdayDavidLuiz #DavidLuiz #ChelseaFC #DavidLuiz #Football #sportzcraazy #AFC #EPluribusUnum #CFC #PremierLeague #ChampionsLeague #FACup #EropaCup
cloudninesports,"Happy 33rd Birthday to the former Super Eagles and Chelsea legend ""John Mikel Obi"" #CFC"
mygibet,"Happy 33rd birthday, John Obi Mikel One of the finest midfielders ever in Africa "
GoalAfrica," Africa Cup of Nations Premier League FA Cup League Cup Champions League Europa League Community Shield Happy 33rd birthday, @mikel_john_obi! pic.twitter.com/4XtZ4wELAm"
SokaPlace_," Africa Cup of Nations Premier League FA Cup League Cup Champions League Europa League Community Shield Happy 33rd birthday, John Obi Mikel! https://www.instagram.com/p/B_SK4arAv_A/?igshid=quczoxluy3yy"
DJYBNL1,Happy 33rd birthday @mikel_john_obi!
urbanarsenaI,"Happy 33rd Birthday, @DavidLuiz_4 #afc"
SportsDespatch,Happy 33rd birthday to Arsenal defender David Luiz! #AFC #Gunners
