username,tweet
heymissjoseph,Happy 23rd Birthday to the @maryjblige album that has a special place in my heart and makes me remember the goodness of my NY Youth SHARE MY WORLD! @eb4prez @MUSIQSOULKNICK
ArianneAlonzo3,"Happy 23rd Birthday,Zild Benitez!! "
williemaemciver,Happy 23rd Birthday to Gospel Recording Artist and Evangelist....@JekalynCarr !!! #JekalynCarr #ChangingYourStory
aliciadine,"Happy 23rd Birthday to the beautiful, talented and anointed Jekalyn Carr. You have been such a blessing and GIFT TO ME AND THE WORLD! I thank God for that golden instrument that is helping to transform the world! ONE LOVE MY DEAR! ALICIADINE "
nondumv,"Omg I didn't even realize it's the 23rd already, happy birthday Buseka. Paragraph coming up in the DMs "
chicachae,we have the same bday! (it’s still not the 23rd where I’m at) happy birthday twin oomf!!!
Izzy81677789,Hi @TheRealTimHealy . So it's my 16th on the 23rd so literally like 50 minutes away and it would be so cool if you could say happy birthday cause you're an actual legend? Also kinda a huge ask but I adore the 1975's music and it would be kinda cool if Matty said happy birthday
Prodiga4,PRODIGA party fever dropping soon.... happy birthday to me April 23rd https://www.instagram.com/p/B_TKQA6HP8g/?igshid=1mzsxhtmz62a3
GoobyOzIsHere,@AshesAudrey it’s the 23rd here in Australia. Have a happy Aussie Birthday!
sannatoryum,okay since it's 23rd... happy birthday to me i guess 
nicolesniches,Happy 23rd birthday to my partner in crime♡ I know this year is weird because the world is weird rn but I hope that you know how special you are + how much I love you! . . . #lifestyleblogger #canadianblogger… https://www.instagram.com/p/B_TI4YslcwM/?igshid=oas656r31lh0
ellth23,I wish Tom would sing happy birthday to me lol May 23rd if you could let him know that would be great thanks xxxx
SmithBrittan29,@JekalynCarr Happy 23rd Birthday woman of God!
CorbonSheppard,Happy 23rd birthday babe! I love you and I’m so proud of you @T_savageP
KavanaghCk,"Happy birthday to you, Ciaran. You are sandwiched between QEII (21st) and St George (23rd) I hope this has helped you."
AidaCollette,Happy taurus new moon and happy earth day and almost happy birthday to me.. 23rd April!!
Twiceislife6,Road to 1st Girl Group to Gain 400m Views. Lets Stream Guys!! https://www.youtube.com/watch?v=ePpPVE-GGJw RT @Seungkwanboo17: April 23rd Happy birthday to Chaeyoung of Twice! #happychaeyoungday #happybirthday #chaeyoung #sonchaeyoung #twice… https://twitter.com/i/web/status/1253056487221530626
Anawa91,23rd of April Happy birthday to me #29 
iamshaileshsd,Happy Birthday @JohnCena Sir 23rd April 1977 @WWE @TheFastSaga #johncena #F9 #wwe @Taeler_Hendrix @RealCoryMachado @Dylan_Bostic I'M FEELING PROUD TO BE AS YOUR DIE HARD FAN...
maxbodach,"Happy 23rd Birthday to the best AMU Politics graduate, .@RyanRasins! Sometimes he even crashes my classes :) Drink some scotch in celebration tonight, king"
fullsunhappier,"I'll be extra af as always and it's the 23rd here now so... HAPPY BIRTHDAY @xuxispyjamas !! I love and cherish you so much, you're most definitely one of the SWEETEST and MOST WONDERFUL human beings I've got to know in my life and I'm just so damn grateful for your existence!!"
IamAvantic23,"My sister called to wish me Happy birthday! I said, “but it’s tomorrow!l She said, “It’s midnight in India so it’s the 23rd here!” How lucky I am! I have two homes now in two diff countries &amp; two diff time zones… https://www.instagram.com/p/B_TBdRJp_Yn/?igshid=1xm23quqvtg6d"
kulotsznizild,happy 23rd birthday to this amazing human being!!!! God knows how much we love you tita @zildbenitez !!! You may not know me personally but me and my co-spaders will always be here for you!!! I wish you never-ending happiness. +++ #ZildBentetrez #Zild23on23 #HAPPYZILDAY
AmyMardjani,"#LIbirthdaysmiles @News12LI Tomorrow, Thursday, April 23rd Sean Mardjani of Center Moriches turning 13! Where does time go? Happy Birthday Sean! Love, Mom, Dad, Kevin and Alec Keep reaching for the stars! "
Seungkwanboo17,April 23rd Happy birthday to Woonggi of TOO! #happywoonggiday #happybirthday #woonggi #chawoonggi #too #tenorientedorchestra #nchentertainment #20020423 #20200423 https://www.instagram.com/p/B_S_HVYJAQm/?igshid=1wkpzz7as3m2q
xBrookieCookiee,Happy Birthday Sonte 
Fmc262,Happy birthday!!! We are a few hours ahead here in Australia so it's the 23rd here today 
discoblood_,"Taken on my roof, during the lyrids meteor shower. around 2am. I've always thought it was pretty rad that the peak of the shower always falls on the 23rd. Happy birthday or whatever. "
Seungkwanboo17,April 23rd Happy birthday to Taewoo of 1the9! #happytaewooday #happybirthday #taewoo #kimtaewoo #1the9 #under19 #mbkentertainment #wonderland #19990423 #20200423 https://www.instagram.com/p/B_S-y1ApqUN/?igshid=opg48s0kx3sh
kaafisanjana,it’s 23rd april where i live so happy birthday Lemonade i love you @Beyonce thankyou for sharing something so personal w us it’s my fav album &amp; means so much to me now PLS STOP GIVING ME ANXIETY RELEASE WHATEVER THIS LIL NEW PROJECT OF YOURS IS QUICK I TRULY CAN’T thankyou 
TwiceIncorrect7,"MN: Tora, today's a special day TR: *thinking* uhhhh... it's April... MN: It is April 23rd, your Mama Chae's birthday TR: *clapping* Oh! Yay! CY: *walks out of bedroom* TR: Mama Chae! Happy birthday! CY: Thanks, sweetie! TR: Are you thirty yet? CY: *laughs* I'm in my 20s"
Seungkwanboo17,April 23rd Happy birthday to KB of OnlyOneOf! #happykbday #happybirthday #kb #shinkyubin #onlyoneof #8dcreative #19920423 #20200423 https://www.instagram.com/p/B_S-Zo-JJEv/?igshid=opeopi466mc7
Seungkwanboo17,April 23rd Happy birthday to Chaeyoung of Twice! #happychaeyoungday #happybirthday #chaeyoung #sonchaeyoung #twice #jypentertainment #once #19990423 #20200423 https://www.instagram.com/p/B_S9-gVpsZM/?igshid=uiw44nangi8s
Seungkwanboo17,April 23rd Happy birthday to Jeno of NCT! #happyjenoday #happybirthday #jeno #leejeno #nct #nctdream #smentertainment #nctzen #20000423 #20200423 https://www.instagram.com/p/B_S9l9qJ0IN/?igshid=lu75bw881o2k
Israamadzi,"Lol...it's 23rd here already So, happy birthday bro! Hope you have a great day ahead "
sami_kay_lynn,I was the 23rd favorite on this and i thinks that’s a good sign happy birthday 
ihmwiltttm,"dude you dropped this piece of masterpiece like 15 minutes before the beginning of april 23rd in my time aand my birthday is on april 23rd i'm so happy, the song is amazing"
wdwSamB,Happy birthday Luke. Hope you enjoy your 23rd year on this planet. Spent all evening editing photos and putting them together. @PrincestoKings_
DineoMphelane,My Dad called singing happy birthday in the wee hours of the morning today thinking it’s the 23rd 
JTucks__,Help this man and everyone else out if you can happy birthday courage April 23rd!!! 
sunshiinefitz,it's the 23rd where i am rn so i'd just like to say a BIG happy birthday to @xmoonlightea I LOVE YOU BRUNA!!! HAVE A GOOD DAY!!!!!
raybirdhill,Happy 23rd birthday @Hill_Emily7!
GoodCreditPro,All I can say is “GOD IS AMAZING” EVERYONE JOIN ME in wishing my SON @Terrance_Smalls a. HAPPY 23rd BIRTHDAY!! I Pray that you ACHIEVE everything you set your SIGHTS on!!! HAPPY BIRTHDAY AGAIN!! LOVE YOU… https://www.instagram.com/p/B_S33BGFrul/?igshid=pegqh5ippc01
prafful777,@JohnCena In India it's 23rd april. happy birthday John
wearestarsnyc,Happy early Birthday (April 23rd) to our very own @AngelaBelcamino 
ManMundra,Thanks Sir!!! And wishing you a very happy birthday 23rd April!!!
ozjannaee,happy 23rd birthday to meee 
urthebeesniz,"happy 23rd birthday to this precious human being, @zildbenitez &lt;3 stay safe and God Bless. "
snchzej,happy 23rd birthday miloves! 
karmen_tucker93,"Happy 23rd Birthday to my LS, My Gr8t 8ight!!!! Enjoy your special day and be safe, despite of the circumstances "
moonbbyari1,@NiallOfficial wish me a happy birthday on the 23rd of may thank you
roseannanna,Yay people who are born on 23rd of April are very special . I think everyone has forgotten it's st George's Day tomorrow. Happy birthday !
rashakishaa_,"Happy birthday to this amazing man who is always on fire! Thank you for letting us see how talented you are! Keep on inspiring people and keep on being superb! Happy 23rd, Daniel Zildjian G. Benitez! We love you sooo much! #BinataNaSiZild #HAPPYZILDAY"
ANERBBANDUTTA,"@GargiBolchhi Dear Ms Gargee,The clock is just about to tick 00:00 hrs on 23rd Apr 2020. So its The Day of your life... Happy Birthday dear. I am celebrating it watching you at #Khaad on #StarJalshaMovies. Lovely coincidence. খুব ভালো থেকো।সুস্থ থেকো।শুভেচ্ছা রইলো। অনির্বাণ দত্ত"
out_23rd,Happy Birthday!!!! 
hllngmwah,"Happy birthday G ! @GiGiHadid Hope u has happiest birthday Thank u for being born into this world I lov u G i alwys do, all that!!! I kno its too early but in my place its 23rd april "
KirstxnMartinez,"Happy 23rd birthday Curt I wish you were here, I wish I could see you. You were the greatest bestfriend and best ""big brother"" I could ask for and I'm thankful to know I had you in my life for as long as I have. But I know you're at peace and I promise I'll stay strong for you. "
Gayleeago78,"#HeyNext. Today is my son, Jeff's 23rd birthday. We are celebrating virtually as we will be celebrating his CSU grad on May 16th. Happy but sad! Shout out to him? "
SoulReaper2222,"In Australia, it's April 23rd as opposed to April 22nd here in the states. The 23rd is Tom Fulop's birthday. If you wish, please join me and others in wishing a happy birthday to a sincerely nice person. Thank you. @TomFulop"
AndrewACYT,happy birthday foxy! 23rd? sorry I missed the stream!
IkaZulkefli,so i decided to bake burnt cheesecake as my birthday cake. Think im gonna bake another cake tomorrow. Rupa takde takpe janji sedap dan licin . Happy 23rd! https://twitter.com/ikazulkefli/status/1252259918641369088
HdyhLatif,"@nursyifasarah Happy 23rd birthday Syifa cantikk. May Allah bless you, stay kind and humble ok. "
arzheliling,"ANGGGGG SAAAAAYYYAAAAA!!! HAPPY 23RD BIRTHDAY, SELF!!!! "
