username,tweet
SkyyHighh_5,Happy Birthday Drea 
fra1les422,𖤐 happy birthday 29th Soma Saito 𖤐 I pray for your success and happiness. I genuinely respect you. I love you from the bottom of my heart. xoxo… #斉藤壮馬誕生祭2020 #斉藤壮馬生誕祭2020
grafetteeINKZ,"Happy Twenty- Fineeee to me #taurus #happy29thbirthday #hennythingispossible @Las Vegas, Nevada https://www.instagram.com/p/B_Tvuw1nGR3/?igshid=11jpa7evwvxom"
Christi88501239,"@MeekMill Her 15th birthday is May 29th, It would mean the world to her if you could send a video saying happy birthday to her. I don’t think there’s anything else in this world that would make her happier."
JiminsCats2,"Happy 29th Birthday! You will be at a beautiful location taking all the pretty, amazing pictures soon! "
134340Idle,Happy 29th Birthday! 
_jaehyunzzz,HAPPY JENO DAY!!! i'm very proud of the man you've become i know you will do great together with the dreamies on this comeback on the 29th. FIGHTING!!! @NCTsmtown_DREAM #HAPPYJENODAY #따뜻한_봄에_와줘서_고마워_제노야 HAPPY BIRTHDAY PRINCE!!! 
PettiMayoo,Happy 29th Birthday to my person You are my everything 
TyKaJo,Thank you kind sir and happy Earth Day! Tell your wife Happy 29th Birthday too!
joonluiza,Happy 29th birthday! Be always happy and healthy 
tomlavelles,"Across the street just celebrated their 73rd birthday. ""Happy 29th Birthday Cathy"" -Me She thinks I'm the sweetest"
lonearcherfilms,"Happy 29th Birthday to my wife Tess! This was taken 9 years ago today when I popped the question with a lollipop ring, long before Wade Wilson did! "
mustangmek66,"Mama said lady's don't age past 29....so happy 29th Birthday . Mama also said never ask a lady her age, but that's easy because they are all 29 "
WaitingForRona,"My mom turns 89 on April 29th. She is stuck in her #LasVegas apartment, very much alone while I'm trapped in another city. Is there anyone in #LasVEgas that would be willing to grab a few friends and surprise her with singing Happy Birthday to her from outside her apartment?"
NO_dAiRyDoLaN,It's my sisters birthday on the 29th it woukd mean the world to her if you could wish her a happy birthday
TmarTn,Happy Birthday bud. 29th year will include lots of games together I hope! And maybe a trip or two....
NO_dAiRyDoLaN,Hey guys! My sisters birthday is on the 29th and since we are stuck in the house i wanna make it special for her. I wanna get @markiplier to create a short video wishing her a happy birthday. She literally LOVES him with all her heart she watches him all day everyday.
mrtomwhitcomb,Happy second 29th birthday @AndrewKunkle
michelleks_03,@AM34 my best friend Kyla is your biggest fan and it’s her birthday in isolation today can you make her day and wish her a happy 29th?! 
Variocolorista,Hi again @TheBiancaDelRio The next 29th of April will be my boyfriend's birthday. He is a huge fan of your work and as we are quarantined now I wont be able to throw a big party so... Could you sing Happy Birthday to him? His name is Santiago Xoxo hope youre safe and healthy
SoccerIraq,Happy 29th Birthday to #Iraq winger @AY9Official! 
Teresa02787068,"@kylieminogue Hi kylie, in these uncertain times I am hoping you could make my daughter Lucy smile on her birthday on 29th April. If she got a message or video from you wishing her a happy birthday it would be amazing!!! This is a shot in the dark, hope you read this &amp; reply x"
walkingdeadart1,"@eurekaohara @itsSHANGELA Hi Ladies, I am hoping you can help - My daughter Dakota turns Sweet 16 (Apr.29th) &amp; she is a super huge fan :) due to this virus, she's unable to celebrate with her friends and family - so I am hoping you can tweet her a happy birthday, if possible."
neilcunningha12,@Danni_Wyatt happy 29th birthday to you from me and my mum
NorwichLanes,Happy 29th birthday @S0UNDCLASH. Looking forward to the party next year #Norwich
thayesnet,"Happy Birthday Dave! You do amazing work for @TMobile (results, values, culture cultivator) and deserve a great day and great 29th year! "
ItsLolaRae,Happy birthday love 
griffinmcelroys,omg coach’s birthday was on the 29th and i kicked him out last night for ava and apparently avas is on the 28th...
Christi44640991,@VyQwaint My son Coleton would ABSOLUTELY LOVE for the Spy Ninjas to wish him a Happy 5th Birthday! His birthday is April 29th! I would love to record his response for you to see! HE WOULD FREAK!!! Much love! Hope you all are staying healthy. 
Christi44640991,"Could you please say Happy a birthday to my son Coleton! He ABSOLUTELY adores all of the spy ninjas. Everyday we, as a family, look to see if you’ve posted a new video!For Christmas he asked for a spy pen, spy suit and of course CWC merch! His birthday is April 29th!Pls and thx"
CB97sbabyg1rl,Wish Jeno a happy birthday!!! You can’t be cancelled if you do!! And stream NCT Dream’s comeback « Reload » on the 29th of this month (which is also my birthday so it’s my favourite gift!) 
scott48431,@JDMorgan happy birthday pretty cool ours are a week apart mine being the 29th. Have a very Began like birthday!
ItsLolaRae,@Sobapictures happy birthday PHam 
glynch77,Happy 29th birthday !!!!!!
Jaysmoothmusic1,Happy birthday to a King that just turned 29th’ years!!!! Old it’s a blessing to make it this long because sometimes people don’t really make it too see there 20’s at all but I’m blessed too make… https://www.instagram.com/p/B_ScrCIpMPr/?igshid=15tf71n6hst89
imtaehyungirl,"Happy Birthday loves! Ilysm, Can't wait to see you on this 29th April #HAPPYJENODAY #따뜻한_봄에_와줘서_고마워_제노야 #OurPrinceJenoDay #HAPPYJENOISMYHEART"
lilminnie567,Happy 29th birthday to my handsome husband today!! The girls and I will always be here to 100% support you &amp; watch your dreams come true! An amazing father and just a genuine soul all together- we love you always and forever!! @ReUpHD
