username,tweet
sammiisaurus,Happy 31st birthday to the best big brother out there 
_emmaberry,"@JamesBourne Hi James, It’s my sister Leanne’s 31st Birthday on April 30th, during isolation I was wondering if by any chance you would be able to record a message wishing her a happy birthday as a surprise, she doesn’t know &amp; is a Massive Busted fan, it’d cheer her up so much "
TReese82,APR.27 B-DAYS:Happy 31st Birthday to Model MArtha Hunt!
TReese82,APR.26 B-DAYS:Happy 31st Birthday to NFL DB Buster Skrine!
FabeRezaire,"Bon anniversaire, (le/la)?Gameboy ! 31 ans! Happy 31st birthday, Gameboy ! https://www.instagram.com/p/B_SnXZgIts4/?igshid=17gh4ppvqc6ib"
samh_JRD27,Happy 31st Birthday sweet TALA 
Naterice1996,"It’s a website and fans can pay a certain amount of money and y’all would send them a video wishing them happy birthday or something like that! Check it out. Also, we were supposed to see ya on March 31st and we are really excited to see you when we can again!"
LeanneLivens,@CapitalNW my husband is celebrating his 31st birthday on lockdown tomorrow can you say happy birthday lots of love from his wife leanne and 2 daughters ruby-mai and Brooke xxxx
2020VisualMedia,RT to wish our fearless leader @patrosen a happy 31st birthday! We thank Patrick for everything he does to make our company great. #HBD #2020Vision
LaLigaEN," @valenciacf_en's goalkeeper is celebrating today! Happy 31st Birthday, @JasperCillessen! #LaLigaSantander #StayAtHome"
EpicFilmGuys,A BRAND NEW Epic Film Guys #podcast is here! Pre-Roll BONUS! Happy Birthday Hayden Christensen! Check out this and all of our amazing episodes at https://ift.tt/2aId3SD! Thank you so much for all of your incredible support! #PodernFamily #MoviePodSquad #Podbean
BKelokilwe,Happy birthday Thaka
GamingSjn,Happy 31st birthday to the OG Gameboy! #Nintendo #Gameboy
JuStevens1,"Happy 31st birthday to my amazing daughter @AprilSte22 Always proud of you, but never more so during these times. Not quite Rome I know, but Marco’s bar and grill is exclusively open for us this evening Have a lovely day xxx"
p4gnet,"Happy 31st Birthday to myself today, 22 April. Since I'm all alone under lockdown down, no cake, no makeup, no filters; let me celebrate with emojis very close to my heart. @NandosSA the drumstick is for you. "
LangstonLab,"Happy Birthday from this wee ginge, also 30 until July when he’ll celebrate his 31st excuse the sleeping photobomber "
MessiFalse9, Model Professional and a great guy. Happy 31st birthday to @JasperCillessen happy birthday 
CarlCreevy,Happy 31st birthday to my eldest son Carl 
BroadcastMoose,Happy 31st Birthday to Iceland captain Aron Gunnarsson have a great day my friend 
LithoChasm,"Happy 31st birthday to the Gameboy! Here is my collection of atomic purple handhelds, and while not pictured I still have my og Gameboy from ‘90. "
TheOXGod,Happy 31st Birthday Gameboy 
almighty_tyti,"Happy 31st Birthday Unc , Imy 7|16|17 "
nudiemagpie,Can't stay up late to finish this because of work. I've failed you Daisy. Happy 31st birthday 
YOOOOO_Ls,Happy 31st birthday to my little big brother Lamar !! 
Christo93068207,Happy birthday to you today @NikkiCrossWWE and I hope you have a 31st birthday today
SquidTrain2020,"So it's Princess Daisy's 31st birthday and NO ONE's talking about it?! In that guess, Happy Birthday to one of Nintendo's best girl characters "
Duncan12390438,Happy 31st Birthday to #PrincessDaisy!
