username,tweet
TomspittleTom,Happy 24th Birthday Jack and James Spittle. https://www.instagram.com/p/B_TNKYxpjaCjapy1yWgWIxLC1lIjEVhzpVJORU0/?igshid=a2p6bpmpq84o
luvmyblakey,HAPPY BIRTHDAY 
J23raider,Anons I need your help? Trump Tweeted happy birthday to Cindy Adams on the 22nd but her Birthday is The 24th. He said she looks like 39. Does that mean anything to you? #WWG1WGA #GreatAwakening #
april96_,Happy 24Th Birthday to me 
_____Tru,Happy 24th Birthday To Me .!! 
fcassia,"Happy 24th birthday, @NetRexx the #programming language designed for people, not programmers. #Rexx for the #JVM platform. #Java #opensource #openJDK Thanks @MikeCowlishaw"
SaurabhRai_INC,"His Birthday comes on 24th but if you've greeted him Today. We'll celebrate from today onwards Happy Birthday Bhaiya @BabaBlocked Stay Safe, Stay Healthy #ArrestAntiIndiaArnab"
puffnpuffer,Happy birthday mom 
_czariaa,Happy 24th Birthday to me 
KPrecious23,24th birthday today &amp; im just tryna end up in a sexy ass kiss that turns into some waterfalls HAPPY BIRTHDAY TO MEEE 
tarci_ann,"Happy 50th Earth Day (and 24th Earth Day birthday to meee). I am once again asking you to go vegan for the animals, the environment, and your health "
hxmmingsbieber,I’m so EMBARRASSED. I texted my cousin happy birthday and her fucking birthday is on the 24th not 22 
M04110629,Happy Birthday 24th Have a nice day :) #中尾翔太HappyBirthday
starzone510,Happy 24th Birthday Jay xxx
katiefsloan,Madeline/24th birthday/happy birthday sunshine!
nevertherose,"Watch, he's gonna release it at like 3AM April 24th, be like ""HAPPY BIRTHDAY TO ME IT'S DONE"", then sleep until 1 while we blow up Twitter and YouTube for him "
evvrysingleday,"i can't believe i once used 'happy birthday, merry christmas to the one i call my missus' line because h*e*r birthday is on december 24th ..."
_growingpainz,"happy 24th birthday, mac. it’s still hard believe u aren’t here with us.. you’re so missed. i will celebrate and honor u today. "
MeganKay96,It’s My Birthday! Happy 24th to Me! #happybirthdaytome #quarantinebirthday2020
Jackie31777029,"@KingJames Dear Lebron, hope you and your family are doing well. I was wondering if you could help me surprise my husband with a video message wishing him a happy birthday. His name is Eric, he is a US veteran and a big fan of yours. His birthday is on April 24th. Thanks a lot!"
KeeboTherapy,Happy 24th birthday to BeastWars 
HeavenNiquee_,"happy 24th birthday to my other half, can’t wait to make your day amazing today "
reannafrancesca,"cheers to you happy 24th birthday gorl. my heart is heavy and I’m missing you like crazy, but we’re celebrating your life today and everyday. i love you, i ain’t ever gonna stop loving you "
sqylatte,@NJOMZA happy birthday i love you
The97Revolution,Happy 24th Birthday to Disney's Animal Kingdom! @WaltDisneyWorld @IAAPAHQ
Lacedlyss,Awwwh happy birthday!! It’s my 24th today!
nuy0rican,HAPPY 24TH BIRTHDAY TO THE LOML Thank you for everything you do for not only me but your daughter! we wouldnt trade you for the worldd Have an amazing day bebe -@superteamnyk
