username,tweet
patriciagapuz,Happy 22nd Birthday to me! 
yungtraph,"hey reggie its @doomedmike 22nd birthday, mind wishing her a happy bday? "
kcaudill22,My little brother’s gift to me was an inflated latex glove with “happy 22nd birthday :)” written on it
gtbailey8,"Happy 22nd birthday, Animal Kingdom! I’m glad we’re the same age again! I miss you a ton. "
olearycrew,Amazing! I wish I was born on the 22nd!! Also - happy birthday 
moonseelie,"happy earth day, 22nd day of faepril, and birthday to my best girl!! "
yungtraph,@yungblud i know you will see this. it's one of your fan's 22nd bday. it would be amazing if you'd wish @doomedmike happy birthday. please dom 
_justmateo_,Happy 22nd Birthday to the park that gave me this iconic moment. NĀHTĀZŪ! 
Beckahisabella_,HAPPY 22ND BIRTHDAY TO THIS ABSOLUTE QUAN. 2 MONTHS OF FRIENDSHIPS AND YOURE ONE OF THE BEST HUMANS IN MY LIFE RIGHT NOW. KEEP DOING U MY G WE FUCKING LOVE U @doomedmike
colbyxmike,"HAPPY 22ND BIRTHDAY TO MY ABSOLUTE FAVE @doomedmike !! I love you with all of my heart &amp; I know I sadly cannot be with you which sucks but I’m sending all my love to you! Have a happy &amp; safe birthday, you make me so happy "
KevinsCrackhead,soooo it's one my BEST friends ever birthday! thank you so much for always being there for me through everything you mean the world to me I can't wait to meet you and hug you you're my world! I'm sending you so much love on your 22nd birthday! @doomedmike HAPPY BIRTHDAY BBY 
lhuxisbrain,22nd is your birthday too?? Well either way; happy birthday!! I turned 22 and I’m sorry to spoil but I haven’t figured anything out either
ABigLittleVoice,"happy 22nd birthday dak, I miss you "
J23raider,Anons I need your help? Trump Tweeted happy birthday to Cindy Adams on the 22nd but her Birthday is The 24th. He said she looks like 39. Does that mean anything to you? #WWG1WGA #GreatAwakening #
ChristinaAspen,HAPPY APRIL 22ND AKA EARTH DAY AKA A MONTH FOR MY BIRTHDAY LETS GET IT 
lukegordon67,Hey my username is coastacofeeeeeee5 and my birthday is on the 22nd of may and my dream pet is a neon shadow but I would love if it happened because I don’t have a lot of good pets so it would make me really happy and I hope you see this please and thank you Luke
emilykranking,"Happy 22nd birthday to one of my best online friends, @hunterbrayer. Love you. "
fd_mardoqueu,"A Happy 40th Birthday to @courtneyfriel and Have a Wonderful Day! (April 22nd, 1980) #KTLA #HappyBirthday "
Smarty_Dxpp,Happy birthday to anyone who was born on April 22nd Except for Amber Heard #JusticeForJohnny #JusticeForJohnnyDepp
NefariousLombax,"It's April 22nd, meaning today's the only day that this iconic Spyro scene is relevant. Happy 45th birthday, Hunter! "
FreenyTheSecond,Happy Birthday to everyone born today on April 22nd!! Make a wish~ 
samanthaaburns,happy 22nd birthday to my HOME! I couldn’t picture myself anywhere else in the world.. I love DAK so blessed to call this “work” 
rachaelbham,Happy 22nd Birthday Animal Kingdom! Throwback to my first day at DAK as a cast member in 2017 
meep28,Happy 22nd birthday Animal Kingdom and happy earth day everyone! I have so many wonderful memories of this park and I will treasure them forever. Thank you animal kingdom for educating people about our beautiful… https://www.instagram.com/p/B_TDragnXKZ/?igshid=eg38eaoebsyh
JamesfromUtah,"Happy 22nd birthday to Animal Kingdom, my favorite of the @DisneyParks. #DisneyWorld #WDW #AnimalKingdom"
ConsEnergyNet,"April 22nd is special for another reason as well, we'd like to wish a very happy birthday to Scott Coenen, Executive Director of @wiscef!"
