username,tweet
coachmikefarley,"Happy 21st Birthday hannamackk to say I you is understated! From the first time I saw you in the delivery room to every moment sense. You bring true joy, laughter and life into our home… https://www.instagram.com/p/B_TOz_LlQgTRRyyG0XPyHOrddZsS0RQeo0be_c0/?igshid=3f0r9jhqesno"
EverydayPotato,HAPPY BIRTHDAY TO ME worst time to celebrate your 21st birthday... send me hugs ty
greg_guy25,Happy 21st Birthday to me #EarthDay50 #birthday 
wayvengers,"happy 20th/21st birthday to the cutest guy in the world with the brightest eye smile that can heal depression and end wars (wkwkw) happpy birthday to my favorite boy, like damn i still can't believe he's grown up so fast [nangis,,] and already celebrated his 20th birthday. "
AudreyBreen3,"Happy 21st Birthday baby, I love you to the ends of this earth and back "
vannah__jordan,Happy 21st birthday Jer this pics are SO VERY OLD but they are all that I have! I love you &amp; I hope you have the best day! @__jeremy13__
theoboi22,@brettgray yo it’s my 21st could u just pls tell me happy birthday king 
sbucks1,@HKane please make my boys 21st special on the 28th and wish him a Happy Spurs Birthday @justinbuckley1 #lockdownbirthdays #tottenhamhotspur
srj978,@__jeremy13__ Happy 21st Birthday... hope u had a great day.
Jodysalmon1,"Happy birthday it’s my daughters 21st today too, it’s been a strange day hasn’t it! Hope you had a nice day mate ynwa "
mikaelaxglover,HAPPY 21ST BIRTHDAY to my bff! Love you eman sorry I can’t be there BUT I HOPE YOU DONT REMEMBER TONIGHT 
AliMcNealy1,Happy Birthday Ellysia - your 21st is to go down in history xxx
devitocheeto,"oh my gosh...NU'EST, MONSTA X, and DAY6 all have comebacks on my birthday...happy 21st to me "
Itsashlynnmarie,happy 21st birthday to the funniest mfer ik. ily get shitfaced for me pls &lt;33 @dyllinsupelano
manuel_1665,@caljjean happy birthday love 21st let’s break the law and fuck shit up! 
Kitsune194,Happy 21st birthday!! Hope you have a wicked fun day! 
_sierramisttt,"Today is my baby sister's 21st birthday. I miss her so much most days feels like a part of my soul is missing. I hate how far away we live from each other, but I know we're both happy with our lives."
SanelePhillip,I don’t know if people still do this but I literally waited for the time to hit 00:00 to give my hun a 21st birthday call . Happy birthday to my favourite hoodrat @Anga_Maphaqa 
