username,tweet
kayeeps,Happy 50th Birthday Papang ILOVEYOUUUU 
lillyinbama,Happy 50th Birthday!!!
Roxy080645,Happy 50th birthday to you!!! 
ErikitainNYC,Happy 50th birthday!! I hope you read each message and are smiling from ear to ear. Sending you a huge virtual hug. 
lucksbane,My 50th is in July. Happy birthday!! Hope your day was great.
campwatcher11,Happy 50th birthday 
pshionflower,Happy 50th birthday!! May you find some comfort food and well comfort where you can find it! 
AntonBrookes1,Happy 50th Birthday 
BarbaraHartnes5,Happy 50th birthday!
kolachkes,"Happy birthday!!!!!!! If your friends missed it, call them! My guess? They think today is Tuesday :) my hubby just had his 50th too. Solidarity. Birthdays in quarantine suck. But. One helluva party when this is over. Happy day to you."
cabocush,Happy 50th (50!!) Birthday!!! 
DBlack_Mountain,Happy 50th birthday. 
denise_talsma,Happy 50th Birthday!! Celebrate!! 
KKsHacienda,"happy birthday! my 50th was 4/11. weird to pass such a milestone alone, but doable. "
Lou_Tarmy,Happy 50th Birthday @rdelello Welcome to the Club!! If you need any assistance with all those @MichelobULTRA let me know.
dana551970,Happy Birthday!!!! Miy 50th is on May 5th. I was going to have a party :(
GreekGoddess66,Happy 50th birthday!
AndrealJackson3,Happy 50th Birthday. 
CPlainscript,Happy 50th Birthday! 
conniebaby671,"I have just fallen upon this tweet and have no Idea who you are, but I just added a new friend. I want to wish you a very Happy 50th birthday. You now have thousands of family members to cheer you up. "
DonnaValente5,Happy 50th birthday! Hugs
londongal_28,"Happy 50th Birthday. Here are some flowers, a hug and a follow. "
1ClearerHead,"Happy 50th! The sting passes. Been there. In the big picture, it won't matter at all because it only makes you more resilient. I hope you can extend your celebration into the weekend. I spent my birthday last Friday all alone and honestly, I enjoyed my day! Hang in there!"
Catheri60048274,HAPPY BIRTHDAY!! I had my 50th a couple of weeks ago. My sister made this sign 
BarbEmmaNeel,Happy 50th Birthday. Eat cake. Cheers!
dawnthomas70,Happy 50th Birthday 
LynnePena75,Happy 50th birthday! 
mspatz55,"@rriproarin Hi, I was wondering if you could help make my wife’s 50th bday special. My wife Jill Spatz is a nurse here in Chicago &amp; everyday she might get exposed to covid. I was wondering if you ask your son to wish her happy birthday tomorrow? She is a HUGE fan! Stay Healthy!"
MsBeeCount,HAPPY 50th BIRTHDAY!!! GOD BLESS YOU!! 
MaJaKa0331,Happy 50th Birthday !!
nurseylu,Happy Birthday! My 50th was rough without a quarantine. Hope this year is a great one.
apaclady,Happy birthday! My 50th was in March when all this started and I know it’s rough - wishing you the best!
vagisil9999,@Karmastrophic_ HAPPY 50TH BIRTHDAY! HOPE YOU HAD A GREAT DAY! CHEERS! 
Nodak52Tom,"Oh my..., you deserve the best Sweet 16 Birthday ever! So, Happy Birthday 50th (actually Sweet 16) my friend! "
SusanDKH,"Happy birthday!! I was homeless on my 50th. No cards or gifts, just other homeless friends to celebrate with! And that was enough "
honkarudas,"Happy happy 50th birthday! You are a member of a very large and dynamic family, the Resistance. We love you, appreciate you, are celebrating with you and wish you all the best. Better days are coming, sister."
Craden924,Happy 50th Birthday.
Jesu_tomiisin,"Happy 50th Birthday Mama Words can’t explain how much I love and appreciate you so, I’ll let this video do justice Song by @adekunleGOLD "
humbledher60,Happy 50th birthday....party like it's 1999 #partyofone##free
Jmf134Jeff,Oh no I’m so sorry. Happy Birthday . We are your family too. Congratulations on your 50th. That’s a great achievement. https://twitter.com/karmastrophic_/status/1253393810819858433
worth_ingrid,It’s my 50th birthday today-can we be triplets? You guys are both pretty inspiring people and I can be your older dorky friend! Happy Birthday @patmaroon and @MollyBozak!
shawnmpatterson,Happy 50th birthday! That's a milestone. We'll get thru this!
Joan21788838,"Happy 50th birthday, hope you eat ice cream and pamper yourself today "
ElyseMeer,Hi Lizzy! Have a very Happy Birthday! Hopefully your great memories will “cruise” you through a great 50th year! 
GoughIler,I hope you have a wonderful year! Happy 50th Birthday! 
DLROONS21,Happy Birthday Rob The Rooney’s wish you a Happy 50th!! and we are happy that you have finally joined our club We can’t wait to celebrate a couple cold ones with you 
MeeraRao17,Happy 50th Birthday. 
peppypatty64,Aw I’m SO SORRY!! HAPPY FLIPOIN FANTASTIC 50th BIRTHDAY from this 56 year old in Cincinnati Ohio!!! We all love you &amp; wish you the BEST!! 
White_Adam,"And with that audacious shot through point, the @bowlologist brings up his half century. Happy 50th Birthday, Flem! "
hmm125,"Happy Birthday! Have a good day and a fantastic year. For my 50th birthday, I got my first tattoo, and it cheered me up enormously. (I am now 68)."
JimBOBlbc,"Happy Birthday, was suppose 2 have died b4 my 50th! Still waiting 4 that SSDI #StimulusCheck !"
jamakinmelazy,I had my 50th in quarantine too! With my mother and my daughter. My mom died 4 days later at home. This is a sucky time for the world. I have a hard time keeping up with the day of the week right now. I’m sure your family loves you! Happy birthday!
GypsySpirit46,Happy 50th Birthday! It's a big milestone and I'm glad your Twitter family helped you celebrate it! Family isn't always blood ...… sometimes we just need to make our own families! 
KaellumEridani,Happy 50th Birthday Kristin. Love you xxoo
katyemaryh,"Happy 50th, be glad, so many are gone. Happy Birthday! "
AnniesRocker,"Same thing happened to me. My 50th was in March during quarantine. On my bday, I put it out on Twitter -- twice -- and got one response. Wont let that happen to you. Happy birthday."
lolabgood1,Happy 50th birthday. I wish you another 50x2.
richardgrm1,Happy 50th Birthday to you! North Dakota is a safe place to be. 
shilstein,Happy 50th birthday! 
KarenFastenau,Happy 50th Birthday!!!! 
KarenFastenau,Happy 50th Birthday!!! 
TheRodCooper,"Well Happy Birthday from the other side of the ocean, too. Thinking of you - and my own 50th birthday which I can just about remember. Second half of your century can be better than first honestly."
turtle4685,Happy 50th Birthday!! 
MaJoad5,Your 50th is a big deal! Float into it. Happy Birthday Stay healthy!
Kellyk1969,"Happy 50th Birthday, "
buttercuptrh,@otiswwe It is my wife's 50th bday today. She loves you. Can you say happy Birthday to her on here?
KlakSerena,"Happy 50th Birthday, Shemar! Just like fine wine, you just keep getting better with age. "
offmycake,Happy 50th Birthday xxxx 
dyson_michelle,Happy 50th Birthday 
jemma6491,Never ever imagined going home to my Mum & Dad's to lay in their bath for 2 hours before wishing my Dad a Happy 50th Birthday at almost 1:00am and trying to stay at home that bit longer. My big boy was fast asleep at home oblivious 
broncogirl0828,Happy 50th Birthday!! 
Tru2KO,"Hell, that must be tough. In lieu of a family ""wish"" I will sing: Happy Birthday to you. Happy Birthday to Yooooou. Happy Birthday Dear Twitter Friend Karmastrophic, Happy 50th to Yoooooooooooou. And many moooorrrreeee. https://twitter.com/Karmastrophic_/status/1253393810819858433"
arrayofsunchyne,HAPPY 50th BIRTHDAY TO ME! @CashApp 
sportsgal67,Best wishes to you on your 50th birthday! It hurts when family forgets. Happy 
Romaniangirl,Happy 50th Birthday to @sweetlips1970 ! Hope you have a great day Sweetie! 
AmyBenn26558238,Happy 50th birthday to my dad Leigh Bennett who is a delivery driver for the NHS! #BigNightIn #BirthdayInQuarantine
PrincipalDad,Happy 50th Birthday to one of the best people I know @karenbritvich !!!
darrenmillar,"And on @westerndigital's birthday too! Happy 50th birthday, many happy returns. @wd_black @SanDisk"
sil5933,It’s my 50th bday too. It kinda sucks. Happy Birthday though !!!
Stevoc44,Our weekly #ClapForTheNHS #ClapForCarers turned into a wee happy birthday sing-along for my neighbours 50th 
diane_maxfield,"Sorry to hear this. My 50th birthday was a real dud as well - nothing from my husband or my family. Anyway, I wish you a very happy 'golden' birthday! "
wendellmom,Happy 50th birthday! You’re half way there. Lol all the best and I’m sure they will reach out to u soon. 
CookieSteward,I hope your family will call you today. I remember my 50th Birthday. I spent 3 days in #LasVegas with my brother (now deceased) my son and some of his friend. It was fun and I hope that when this is all over you get to have as much fun and celebrate every dang day. Happy Birthday 
Mairebc,"Street bingo,the caller had a microphone today which made life easier. I got one line and chose a packet #glutenfree wispa. Finished well in time for #ClapForCarers. It was someone’s 50th birthday ,we all sang Happy Birthday. #CommunitySpirit #SocialDistancing adhered to."
BoneJeni,Happy Birthday Braden for Sunday 3 May (also my birthday - my 50th!) Seems to fly from 13 to 50. April Rose will be your pal through thick and thin. I have had a few pups and they have always been gold. Happiest Birthday!
lordvarenpants,Happy 50th birthday @THATironham !! LOVE YOU!!
emilythornleey,A very strange 50th Birthday for my mam! So we decided to get the street to sing Happy Birthday after the #ClapForCarers !!! Can’t wait to celebrate once this is over 
Valerotti,"Happy Birthday Week, Boys! #TBT to good times and celebrations @alibiroomla Until we meet again! Happy 50th @lavidalucas !!!"
holden_joynes,I got my inspiration from @mulaney How boutta BIG ASS H!? AND I completely forgot my lesson with birthday! Happy 50th Dad 
jeee475,Happy 50th birthday to me. How did that happen? Argh. Nicely squiggly tho. :)
safronprice,Happy 70th birthday mum (Dawn) and also happy 50th wedding anniversary to you and dad (Cyril) #TheBigNightIn
GLOSSGIRLIE,"#BigNightIn Happy Lockdown 50th Birthday to the lovely Jane. Love from Kate, Beth, Vicki, Clare, Tina, Annie, Marie, Sarah &amp; Jo. Xx"
lollyeast8,#BigNightIn. Could you please say Happy 50th birthday for tomorrow to my Brother Ian Stocks from Eastwood Notts. love Lorraine and Chris
nickytesho,Happy 50th birthday to my brother Stewart in Merthyr Tydfil for tomorrow xx lots of love x first birthday being a grandfather too ...xx #TheBigNightIn
Olivia2001229,Big happy 50th birthday on Sunday to my amazing dad! We was supposed to be going to America but due to the circumstances we can’t go! But gonna make it the best day ever! #BigNightIn
BeckySadler75,#BigNightIn Please say happy 50th birthday to my husband Tony and happy 9th birthday to my son Joshua love you both Becky xxxx
harrocks1979,#BigNightIn happy 50th birthday to a special sister Wendy Philips so sorry we can’t be there with you x
jnhallett87,"#bignightin we miss you Nannie and grandad and a happy 50th birthday to Nannie for tomorrow love Tyler, lily and Eyla xx"
KirstyW51467521,#BigNightIn massive happy 50th birthday to my mam Sharon Batey for Friday 1st May. We won't be able to see you but we love you so much and your grandson Alfie can't wait to hug you
mooncat04,Happy 50th birthday to my sister Lorna Docherty. We will celebrate properly after lockdown. #BigNightIn
ChickenLimo,50th birthday parade starting at 6pm from Acton Elementary if anyone wants to join the caravan &amp; drive by to wish her a Happy Birthday. #indy @WTHRcom @WISH_TV @FOX59
SarahMarkham,Happy Birthday @amygreensax ! My 50th tomorrow! Fond memories of our live music making together last month. Have a great birthday.
JustinSajorda,Happy 50th birthday to my oldman! Love you pa! 
Touched123,@iamjrbourne Happy BeLated Birthday To You &amp; Happy 50th Birthday &amp; This Year I Will Turn 47. Cant Believe I Will Be 50 In Three Years.
USGSA,"Happy 2nd Birthday to GSA's VETS 2 Governmentwide Acquisition Contract (GWAC), and its 50th task order award is a great way to celebrate! VETS 2 is the only GWAC set aside exclusively for Service-Disabled, Veteran-Owned Small Businesses. Learn more: http://go.usa.gov/xvNMj"
__heyang,Look at the material!! Happy 50th birthday to my queen . Thanking God for adding another year onto my mother’s life!! 
QueenieClaire,Hi David. Happy Birthday. It’s my 50th tomorrow &amp; I’d love you to play ‘Dare’ for me x
Slave4YSHUA,"Allen, Happy 50th Birthday to your dear brother, Arlan. Very nice and strong name! Blessings in Christ. #ArmyStrong #JesusStrong #HOOAH "
quinto_angelyn,Belated Happy happy birthday @reginevalcasid the Songbird we love you! Ms.reg #50th #AteChona
dominantdolans,"it’s my dad’s 50th birthday today &amp; he made me this shirt for Christmas. sporting my own homemade merch today, happy birthday dad, i love you "
cswift3110,"Happy 50th birthday to the most beautiful, kind, honest person I know. Gutted I can’t be with you today! You’re always my inspiration mum!! I love you unconditionally "
KerrFolkFest,"Happy 50th Birthday @KpftHouston! We love growing old with you. Thank you for your dedication in supporting Songwriters. Kerrverts, do you tune into KPFT? When do you listen? Who are your favorite Artists that they play?! Stream: https://www.facebook.com/events/639548766604876/"
_santiagirl,"(sending virtual cake) *wish po muna bago blow ng candles hehe* May your wishes be fulfilled. Enjoy your birthday Ama D! Mahal ka po naming lahat! You're the best! again, happy 50th birthday!! Nambawan!! "
_santiagirl,"happy 50th birthday Ama D!! I'm wishing you all the best po. Stay safe always Ama, sorry po kung hindi ako makakapunta sa inyo gawa po ng ECQ pero babawi po ako pag naging okay na lahat. As of now po, ito lang po ang kaya kong ibigay bilang birthday gift. "
sarahctully,@jennylewis: Long shot favor: Would you consider singing Happy Birthday to my husband for his 50th birthday in a few weeks? Send me a note or DM if you'd be so kind. 
EveryRecord,Celebrating a lockdown birthday: Lovely breakfast via @flourandspoon Fab lunch by @thegroveleigh Tea with bread from @GroutsTheBakers Best wishes from everyone we have zoomed and chatted to at a socially acceptable distance. Happy 50th birthday to @dpch x
meme5isalive, HAPPY 50TH BIRTHDAY! 
claredude7,Happy 50th Birthday John 
MariaLu69930972,Happy 50th birthday earth day love you Ellen BE KIND ONE ANOTHER
AllenWest,"Happy 50th Birthday to my younger brother Arlan...welcome to the 50 and over Big Dawgs Club! Love, Your brother, Allen (Picture notes: That’s me, Mom, and Arlan. The picture was taken in April of 1984 at Ft Benning, GA, I had just graduated Airborne school.) "
bolaji_0,@KayusOnTheMic_ happy 50th birthday Kay on the mic! Keep giving us good flows till you pass!
RoxyKavanagh,It is my 50th birthday today. On lockdown alone! Singing happy birthday to myself!! x
zimfryer,@weddingpresent Happy 60th David. Here's my 21st &amp; 50th birthday cakes. Show us yours! 
crabbsmeister,Happy 60th birthday ⁦@weddingpresent⁩ here’s one from Berlin on my 50th! 
MarionMulholla4,Happy 50th birthday Barbara @BarbaraBurnsid2 @juliemulligan20 @explainedsnow @RoisinTKelly @GaryGarydo @pamelam14401342 @SoniaNe11700257 @BelfastTrust
nAuntie,Happy 50th Birthday to one of my very closest friends @bonsanche
MGoyetch,Happy 50th birthday Rob.. welcome to the club! 
mickclfc,Happy 50th Birthday. Stay safe.
THasleiet,"Happy 50th Birthday, Jon! I hope you have a great day! https://m.facebook.com/story.php?story_fbid=3557584100925071&amp;id=100000205477486"
HarrisonGrego10,"Hi Ian, you probably won’t get this message but it’s my dads 50th birthday soon. We’re all HUGE arsenal fans, he’s been a season ticket holder since the 80s and you are by far his hero. Would be his dream come true if you were able to send some kind of happy birthday Lee letter"
CarlPomford,@TransalpinoO @Dreams_n_Songs @Carra23 @JamesMilner @Lynz100 Happy 50th Birthday to me! All that’s missing is the Premier Trophy.... must be on the way 
CreamyButters,Happy 50th birthday @OpieRadio ! You must've graduated college at age 10...
mpeachmfalready,"I created this, for my friend but I'll share as you'll get over this #BirthdayInQuarantine. My 50s have been THE best years of my life, and I wish the same for you!!!! Happy 50th birthday. "
TheSlowhand12,Happy 50th Birthday
kevindevonald,Belated happy 50th birthday. Hope you had a safe one. 
jrheingans,@GillIadoz THIS guy is 50 today! Happy -50th- birthday Mark Gill!! 
g__titty08,Today is her 50th she’s my mommy !! Y’all boi tell her happy birthday 
thenametwaan, Forever thankful &amp; blessed to have you as my Mamuscaa Happy 50th Birthday Queen 
STessena,Happy 50th Birthday Bruce! 
Lyncpfc,Happy 50th Birthday Andy 
debmillion,Happy 50th to the boss lady Have a great lockdown birthday #50 #bithday #happy #staysafe @Millionhair &amp; The Beauty Lounge https://www.instagram.com/p/B_UrwqqgEQM/?igshid=95gcfm38c2q1
RSpenceTV,"Happy birthday, Mumma! Help me in wishing her the best 50th birthday! She’s the most supportive, thoughtful and humble woman I know. The birthday celebration looks a little different this year but I’m excited to watch her open her card &amp; gifts over FaceTime. "
emmausmossley,"All companions and staff would like send a heartfelt Happy 50th Birthday to our lovely Retail Assistant, Rachel! We hope you like the hamper and treats #TeamEmmaus #HappyBirthday"
chikaukwe,HAPPY 50TH (GOLDEN) BIRTHDAY TO ME. LORD I AM GRATEFUL FOR ALL YOU HAVE DONE FOR ME AND LOOK FORWARD WITH FAITH IN YOU TO EVEN GREATER ACCOMPLISHMENTS IN THE NEXT 50TH YEARS 
SleepyGator,Phil’s 50th birthday. Too 3 GD show I ever saw. Althea is on “Without a Net” and the show was released on CD a while back as Terrapin Limited. Love the happy birthday tease/intro into China Cat. Terrapin Station is A+. Broke out Revolution as an encore. 
elinuir,"Hi @jamesmartinchef, my mum Theresa is a massive fan of yours and she is unfortunately spending her 50th birthday in lockdown with my dad and I. We wondered if you could give her a special birthday by wishing her happy birthday! Thank you P.S. we made your tarte tatin! "
_go_awayyyyyshh,happy 50th birthday kiddo 
AmberReed94,Wishing @reedyboypete a Happy 50th Birthday!! I’m sure you’ll be blasting some @UB40 today!!
Smudgersport,"Happy heavenly 50th birthday, Jem Lewis, my old opening partner at @AberdareCC many moons ago. Cancer took Jem in his early 20s, in his prime. It was tragic. I will raise a glass to you later, my old friend. Here he is with two legends of the sport @GeoffreyBoycott &amp; Allan Border"
ddalgyunim,"Sorry mama di natuloy ung surprise kong magpapa kids party ako sa mcdo on ur 50th, but so happy na kumpleto today. Alabyu mamaaaaaa~ Happiest Birthday indeed mama edith. mag jjowa nako as ur wish wait ka lng HAHAHAHA CHOUR~ "
