username,tweet
shazsyd,"@yannick_bisson Good morning Sir, from Sydney, Australia. I wondered if you see this, whether you might wish my lovely mother @Jeanett66584791 a Happy 75th birthday. She loves you a lot &amp; has just received the Murdoch Mysteries compendium as a gift!"
Pamalam714,Birthday Ice Cream Cake for the birthday day gal Happy 75th Ma! https://www.instagram.com/p/B_VlXapH5yzdC95o489OeWO-Q9iXlj5TxG3e2s0/?igshid=18jmx1o295ux3
Lesbian_Beauty_,Passed a house the other day with balloons and signs that said ”Happy 75th Birthday” and ”Honk for Happy Birthday!” 
__katiefinch,"After the clap tonight , the whole street sang happy birthday to our neighbour for her 75th birthday tomorrow "
DatDudeGH13,"Happy 75th Birthday to @Greenup, Kentucky https://www.instagram.com/p/B_Ve0PrJT_LKYijPRCFfw-W1R0jgsw654VXUCg0/?igshid=13bmxj0t617q3"
Sonia4Him,"Yesterday was my beautiful mother’s 75th Birthday I’m so happy to have my loving parents It’s a vanilla rum cake, with vanilla custard and coconut and bits of pineapple filling! Yummy "
carylgronwall,Happy 75th Birthday to my dad who is #stayinghome !
tapestrybar,"Special #takeaway tonight!!happy 75th birthday, thanks for trusting us to deliver to you!! #LookAfterEachOther"
Pamalam714,"Happy 75th Birthday, Ma! She is in Hog Heaven. Got beer, crabs and shrimp and a mini fridge for her bedroom and a family to love up on her. https://www.instagram.com/p/B_VM5rYHo_M-zyfC5l1ICExGwoB4MAsoDeuNWs0/?igshid=coguts7c0ha4"
deletedbyMPs,"DT Angela Rayner MP : Massive happy 75th birthday to the legend that is John Gwynne a multi talented guy, famous for darts commentary… https://twitter.com/i/web/status/1253361598481272834"
AngelaRayner,"A big happy 75th Birthday to the legendary @OnlyJohnGwynne John is a multi talented commentator in the darts&amp;sports arena, also a well known after dinner speaker and MC. John has been the compère at my fundraiser events in the past. Oh he’s also the dad of my mate @GwynneMP "
lancscricket," Happy 75th birthday to our PA Announcer, @OnlyJohnGwynne! Hope you've had a great day, John #RedRoseTogether"
shazza10000UK,@OnlyJohnGwynne Happy 75th Birthday hope you have a good one.
livedarts,Happy 75th birthday to legendary darts commentator @OnlyJohnGwynne 
CaptMikeYates,"Please join me in raising a glass and wishing a happy 75th birthday to @OnlyJohnGwynne. A super voice, a wonderfully positive presence. Have a great day John!"
GaryOrmiston1,"@OnlyJohnGwynne Happy 75th birthday John, it darting terms its only outer bull and Bull"
DaveClarkTV,"Happy 75th Birthday to the one and @OnlyJohnGwynne A brilliant voice, a top man, just a shame he comes from the wrong side of The Pennines! Have a great day Gwynnie x"
armyreserve75,"HAPPY BIRTHDAY ARMY RESERVE!! Today, April 23, 2020, marks 112 years of service to the U.S. Army and the Nation for the U. S. Army Reserve. The Army Reserve still stands ready to deploy, fight, and win domestically against COVID-19 or against our enemies in foreign lands. "
WayneTay1or,Happy 75th Birthday to you sir 
SuperbiaProeIia,"Happy 75th birthday to one of the most iconic voices in British sport and fellow #ManCity fan, @OnlyJohnGwynne! "
neil1916,"Happy 75th birthday to our Da, paddydoolin hope you have a great day walking laps around your living room... @Dublin, Ireland https://www.instagram.com/p/B_UvTK1HteD6AjJFdVHe9Ewcu4MlnL3mxQm_E80/?igshid=c8bw4mxxsne4"
CookieSharkArts,"Today is my late mother's 75th birthday. It kinda snuck up on me. I can't believe it's already been 5 years since she passed. It's hard to think about her if I'm honest. The relationship we had wasn't the healthiest. Still, I miss her and I love her. Happy Birthday mum. "
ninny0410,Tobacco Road-The Nashville Teens-1964 https://youtu.be/eGuZY6NVXqU via @YouTube Happy 75th Birthday John Allen (guitarist)!
RAWEvents1,Happy 75th birthday to our favourite crazy man @OnlyJohnGwynne A regular at the Mini Dazzler and a man who @mcwils has personally learnt so much from in his career with a microphone. Thanks John
