username,tweet
ravensegars22,Happy 59th Birthday Joan @joanchenchong
cedcerdenia,"Happy 59th birthday to the coolest dad, we had. We love you so much Stay healthy paps. . https://www.instagram.com/p/B_c5gzmhBft/?igshid=k5vfa5gke9wi"
GeorgeSchmidt67,Happy 59th Birthday to JOAN CHEN 
mrswa1rus,Happy lockdown 59th birthday to my frosty @darrelfrost1 . Enjoy yr day with a cold beer or 3 x x
ninny0410,"""Can't Hardly Wait"" by The Replacements [Demo Version] https://youtu.be/8M7q5Mn3-oM via @YouTube Happy 59th Birthday Chris Mars (drummer)!"
TimeForAFilm,Wishing Joan Chen a very Happy 59th Birthday. #JoanChen
MrSamuelAllen,"@fakingstarwars @LinkVoximilian @JediNewsUK @SkelligMichael_ Happy 59th Birthday to #DebraWilson, she voiced Nambi Ghima in #StarWarsTheRiseOfSkywalker. May she have a good one."
janNjuice24,"My Brothers post had me all teary eyed it’s on point cus if yawl knew my dad yawl know he is quiet but such a very humble man 2 of the main men in my life, my protectors happy 59th Birthday to my pops "
AgnesSnarska,"""Happy 59th birthday, father. And have a good name day. You will retire next year. Woohoo"" - that's what I was thinking all day"
drcwmahr,Happy early birthday. My 59th is in September
BenCaviness,Today we would have been celebrating my dad’s 59th birthday at the spring game! Happy birthday Dad!
fuckyour_pretty,Happy 59th birthday to my GG 
MrSamuelAllen,"@fakingstarwars @LinkVoximilian @JediNewsUK @SkelligMichael_ @certainpovpod @JohnBoyega Happy 59th Birthday to #CyrilNri, he played a First Order Officer in #StarWars #TheRiseOfSkywalker. May he have a good one."
RentDEI,We took a break from work and gave one special lady a Happy 59th Birthday Parade today around her home! #rentdei #idrywithdei #restoration #equipmentrental #scottsaid #tdt
thedryingteam,We took a break from work and gave one special lady a Happy 59th Birthday Parade today around her home! #tdt #thedryingteamlife #restoration #subcontractor #equipmentrental #scottsaid #rentdei
steph_oh_brien,"Today is our dads 59th birthday and more than anything we miss watching baseball as a family. In the meantime we decided to ask Suzyn Waldman for some help wishing him a happy birthday! Thanks, @M_Marakovits for having her join #cameo @Yankees"
whoaxxmegannn,Happy 59th Birthday to the best dad and grandpa ever! Cheers to more years of never wearing a shirt #hbd #loveyoudad #grandpa https://www.instagram.com/p/B_XmQiGDXVA/?igshid=o6kf95jsntv1
4everBrownsFan,@ESPNCleveland @TheRealTRizzo Happy 59th Birthday to my favorite Rizzo!! #Enjoyyourday #Goodtobealive #Joebees
AltrinchamWhite,Happy Birthdsy ...had my 59th on the 12th ...birthdays in lockdown are fine ...enjoy!
jessRmorley,Happy 59th Birthday to my brilliant Dad. Wish we could celebrate together. I'll text mum and tell her you should at least be allowed to eat cake for once #lockdownBirthday
ifediokwenna,I join you and millions of Governor Ortom's friends to congratulate him as he marks his 59th birthday on planet earth. We wish him well and pray for God's guidance as he tries to rebuild hope and give live a meaning once again in Benue State. Happy birthday Governor Ortom. 
BFC_ExPlayers,Happy 59th Birthday today to former Pool left-back ... Andy McAteer Hope you have a great day Andy ! 
GiyaleP,"Happy 59th birthday, Governor Samuel Ortom. Wishing you many more years in good health and service delivery for the good people of Benue State and Nigeria. "
Christo93068207,Happy birthday to you today @georgelopez and I hope you have a awesome 59th birthday today and stay safe out there today
NateFietzer,Eight years ago this past Tuesday dad passed away unexpectedly. Today would have been his 59th birthday. He had a servants heart. He would give you the shirt off his own back if you needed it. He left a legacy and is missed greatly! Happy Birthday Dad! 
mnralphie,"Happy 59th Birthday to George Lopez! The actor who played himself on George Lopez and voiced Papi in the Beverly Hills Chihuahua movies, Carlos in Marmaduke (2010), Grouchy Smurf in The Smurfs 1 &amp; 2, Rafael in Rio 1 &amp; 2, and Thurman in Escape from Planet Earth (Ugh). #GeorgeLopez"
jones_est,Happy 59th Birthday To @georgelopez! The Actor And Creator Of The George Lopez Show And The Voice Of Grouchy Smurf From The Smurfs. #GeorgeLopez #TheGeorgeLopezShow @ActuallyNPH @HankAzaria
BFTP4780,"Happy 59th Birthday to actor #GeorgeLopez! Lopez is best known for the TV shows “George Lopez” and “Lopez Tonight” and for the films “Mr. Troop Mom”, “Rio”, “The Smurfs”, “Beverly Hills Chihuahua” and “The Spy Next… https://www.instagram.com/p/B_V2HMUj3YF/?igshid=1o2xyvj35dtfb"
