username,tweet
DjStassis,Happy 61st birthday!
James44306277,"Irma, Happy 61st birthday in heaven. R.I.P. "
DaltonTucker5,"Happy 61st Birthday, John Corabi! #JohnCorabi #TheDeadDaisies #MötleyCrüe #RATT #TheScream #BridesOfDestruction #EricSingerProject #Tuff #Union #1980s #1990s #2000s #2010s #heavymetal #hardrock #glammetal… https://www.instagram.com/p/B_csCqdnKmw/?igshid=1o8het7xcjlbo"
ninny0410,"John Corabi & Motley Crue--Misunderstood https://youtu.be/k0wJbKpn7U4 via @YouTube Happy 61st Birthday John Corabi (singer, guitarist)!"
yoshiki69k,Happy 61st Birthday to the one and only John Corabi #JohnCorabi
christine160586,"Happy birthday to my beautiful mummy on what would have been her 61st birthday Love and miss you so much, wish you could have met all your grandkids but you where robbed of the chance. They all know who you are and that your in heaven watching over all of us "
KingJayRoc_83,Happy 61st Birthday to my amazing mom and #1 fan!!! I pray God blessed you with many many more and that you enjoy today!!! I love you and miss you!!! Can't wait to hug you again soon https://www.instagram.com/p/B_ablmllZpj/?igshid=ul18kf70cdgl
avpgalaxy,The staff and community of Alien vs. Predator Galaxy would like to wish Aliens' Daniel Kash a happy 61st birthday! #HappyBirthday #HappyBurstday #DanielKash #Aliens
GraffDeb,Happy 61st Birthday to the man who loves us and takes care of us. I love you! #61 #birthday https://www.instagram.com/p/B_ZoaNgpq3jawbR1XUWk52iaFj0VKjnRmJPXGk0/?igshid=131q8m2reum75
EngrChast,Happy 61st birthday to my papa 
NYPD61Pct,We won’t let a virus prevent us from wishing our honorary Chief Aniya a very happy birthday! We were so happy to see her smile and be a part of her birthday parade! @NYPDnews @NYPDBklynSouth @NYPDPSA1 @NYPDChiefPatrol @NYPDCommAffairs
mikeyfelice,Happy 61st birthday to my beautiful mother I don’t know where I’d be without you #dawnski https://www.instagram.com/p/B_XeSmGHaMGAzY9A5rs97NPcDPyT-BRUWkjgu00/?igshid=ae57byzpouuv
TimeForAFilm,Wishing Glenn Morshower a very Happy 61st Birthday. #GlennMorshower
