username,tweet
kimmyjayne1,Happy 83rd Birthday to our Granny Pauline Waldron who is isolated in her little flat and will be watching #BigNightIn #BBC love from all the family xoxox #bbcbignightin
amazon,We're delighted @Alexa99 was able to sing to your grandma! Please tell her Happy 83rd Birthday from all of us here at Amazon! 
carol_dempster,Happy 83rd birthday to the legend that is Jock MacVicar. A true gentleman. Cheers Jock 
PelicanALMC,Happy Birthday Jean! Jean celebrated her 83rd birthday with some cake! #pelicanlanding #sebastian #seniorliving
kadeyobe10,"Happy 83rd birthday to the my grandfather, aka the big guy. I know he’s doing better in Heaven than we are down here. I love you. I miss you. It’s a blue world without you. "
TaraMarie8118,"""Stop acting so small. You are the universe in ecstatic motion."" --Jalaluddin Rumi Happy 83rd birthday, Coleman Barks! Most English-speaking fans of 13th century mystic poet Rumi are readers of Barks' interpretations. Barks is a poet and literature professor who paraphrases "
wfaa,Happy birthday Bonnie ! Her family surprised her Wednesday with a drive-by parade to celebrate her 83rd birthday! 
miguel_panza83,Happy Birthday 83rd Jack Nicholson... 
24admeaa,Made her day and ours! Not seen each other in six weeks and they don't do facetime! Happy 83rd birthday mum #SocialDistancing #BirthdayInQuarantine #mumandhergirls
UndeadH_,Happy 83rd birthday to the legendary himself Mr. Jack Nicholson. 
thetimzster,"One day after, but Happy 83rd Birthday to the Jack Napier himself and first Joker I saw in Bat movies! #HappyBirthdayJackNicholson #JackNicholson #Joker #JackNapier #Batman1989 #Batman @DCBatman"
retrosimba,"Happy 83rd birthday, Duke Carmel, an outfielder who made his debut in the majors with the Cardinals and played for them in 1959, 1960 and 1963. "
theworldcinema,"Happy 83rd birthday, Jack Nicholson! "
cinemapovv,Happy 83rd Birthday to the Legendary Jack Nicholson! What’s your favorite performance by him ? 
kenibyk,Happy 83rd birthday to the greatest. Hopefully we'll get to see him one more time on the big screen before he's done. #JackNicholson
FaceofArtz,"A musical tribute to ""Nightingale of South India Smt. S.Janaki Amma"" on the occasion of her 83rd Birthday! We wish you A Very Happy Birthday Amma :) Team FOA #Upcomingartist #singersofindia #FOA #Covid_19 @narendramodi @PMOIndia @ndtvindia"
24admeaa,Good morning. Happy #StGeorgesDay my English ones.. and it's this lady's 83rd birthday today.. Jeff calls her The Dragon strangely enough I haven't seen her for six weeks and can't FT her so I'm going over to surprise her and will keep my distance in the garden! 
bruceholt20,"BETTE MIDLER i'm beautiful https://youtu.be/RwvHToN0uYw via @YouTube HAPPY 83rd BIRTHDAY! JACK NICHOLSON “THAT’s IT, BABY—WHEN YOU GOT IT, FLAUNT IT !!” "
NessmaKh22,"“I wouldn't like to be an actor if I could only be real. I like to get wild, behaviorally wild, and it's crazy to think of any form where it's just one way.” happy 83rd birthday to the legendary Jack Nicholson "
meowdee,"Just had the most chaotic Zoom session, but in the best way. It's my Gran's 83rd birthday today so most of her 15 grandkids (with family dogs making a cameo too) across five different countries got together to sing happy birthday to her. #LoveInTheTimeOfCorona #stayhome"
DaneshMike,"Not everything I do in life will please everybody, but whose life am I living ? Yours or mine ? -Jack Nicholson Happy 83rd Birthday to legend Jack Nicholson one of Hollywood's great actors /film stars and characters "
KyloJared,@Anna_McGuire__ Happy belated 83rd Birthday to Jack Nicholson 
MartinPhillipW1,Happy 83rd Birthday to Mr. Nicholson. Hope your day is filled with Drugs Sex and cheesy Hookers have fun Bubba Maximillian and Martin 
outlaw961,Happy 83rd Birthday to Jack Nicholson. 
ash1eighgreen,"Yeah today is #earthday but it is also this legend's 83rd birthday. Happy birthday to a phenomenal actor, this icon Jack Nicholson. #starwithakillersmile #JackNicholson"
FireandWater86,Happy 83rd Birthday to Academy Award winning actor Jack Nicholson! #academyawards #JackNicholson
ravenshanice2,Happy 83rd Birthday
field_lakers,HBD to one of the biggest Lakers fans we know you can catch him court side at the Lakers home games join us in wishing Jack Nicholson a Happy 83rd Birthday. 
FarrahWilson1,"Repost @CarolVickiFan by media.repost: April 22: Happy 83rd Birthday to Jack Nicholson #jacknicholson #actor #batman #theshining #bornonthisday #happybirthday #AprilBirthdays #April #quotes @Darlington, South… https://www.instagram.com/p/B_Tn4SfjbJf/?igshid=1wm33nimfwhdk"
DodgersLakers,Happy 83rd birthday to Hollywood legend and No. 1 #LAKERS fan #JackNicholson #ShowtimeLAKERS #NBA #YouCantHandleTheTruth #HeresJohnny
HolyBatCast,"Happy 83rd birthday to the legendary #JackNicholson, an iconic #Joker. #Batman #Batman89"
mnralphie,Happy 83rd Birthday to Jack Nicholson! #JackNicholson
_daveyH,"Happy 83rd Birthday to the legendary Jack Nicholson! ""It’s a slight stretch of the imagination but most people are alike in most ways so I’ve never had any trouble identifying with the character that I’m playing."" #BornOnThisDay"
horror_with,Happy 83rd Birthday to Jack Nicholson! What’s your favourite Jack role?? 
route_6_,HAPPY 83rd BIRTHDAY． #JackNicholson
MattDunbar25,"Happy 83rd birthday to Jack Nicholson. Jack has starred in classic movies such as Chinatown, The Shining, and A Few Good Men but Jack's shining moment of his career is easily this GIF "
jacknicholscn,HAPPY 83RD BIRTHDAY JACK NICHOLSON 
MoviTees,"""If you get an impulse in a scene, no matter how wrong it seems, follow the impulse. It might be something and if it ain't - take two!"" Happy 83rd Birthday to the legendary, Jack Nicholson. "
ThomasLAnderson,@JoeyRector @ASchraudenbach happy 83rd birthday to our form Bahamian neighbor 
beerboy182,Happy 83rd birthday to Jack Nicholson Sucked in mate you won’t see the LA Lakers win the 2020 championship they should’ve won #RonaLyf 
SciFi_Fandom,"Happy 83rd Birthday to #JackNicholson! Seen below in #MarsAttacks, #Batman, #TheWitchesofEastwick and of course #TheShining"
horrorflickss,Happy 83rd Birthday to Jack Nicholson! 
WildBillWellman,"Happy 83rd Birthday to Jack Nicholson, whose long career has been spectacular but it was unearthly great in the early 70s. "
MoviesTVPolls,Happy 83rd Birthday #JackNicholson! What TV series or Movie do you like Jack in most? #AsGoodAsItGets #OneFlewOverTheCuckoosNest #FiveEasyPieces #Chinatown Vote &amp; Retweet your fave #birthday #poll #vote #retweet
frightmicghouls,"Happy 83rd birthday to the one and only, Jack Nicholson! "
afostehh,Happy 83rd birthday to this eternal hunk #JackNicholson
PaulPeralta23,Happy 83rd Birthday to #JackNicholson 
TPuszczewicz,"Happy 83rd birthday to #JackNicholson. I guess him acting crazy has paid off, since he has 12 Oscar nods and 3 Oscar wins. This man is #AsGoodAsItGets."
NiallOK,"Happy 83rd birthday to him, eh!?"
BFTP4780,"Happy 83rd Birthday to actor #JackNicholson! Nicholson is best known for the films “The Shining”, “Batman”, “One Flew Over the Cuckoos Nest”, “Wolf”, “The Witches of Eastwick”, “A Few Good Men” and “Something’s… https://www.instagram.com/p/B_TKlFSDPQf/?igshid=671u3jdtoi1w"
StEvieAreUokay," RT @MarshallJulius: RT @MarshallJulius: Happy 83rd Birthday Jack Nicholson! ""The less people know about me, the easier my job is."" "
MrTimCallanan,Happy 83rd birthday to Jack Nicholson 
CircusRecipe,Happy 83rd birthday to the legendary Jack Nicholson. Watching this joint in celebration of him and his life. 
CoryKarma,Happy 83rd Birthday #JackNicholson
TheJQWay,Happy 83rd birthday to the #Legendary #JackNicholson. A true talent and inspiration. Thank you for so many great moments in #cinema.
AmargosJohnny,"Happy 83rd Birthday to my old time dude, Jack The Fucking Nicholson! "
storyguy1,"Happy 83rd birthday to one of my favorite actors, #JackNicholson !"
Rwindelange," RT @SpacewomanR: HAPPY 83RD BIRTHDAY #JACKNICHOLSON Apr 22, 1937 Hells Angels on Wheels (1967)"
FallGal82,"Happy 83rd Birthday to Jack Nicholson, best celebrity president ever!! "
InsertMontage,Happy 83rd birthday to the legendary Jack Nicholson What’s your go-to Jack performance? 
JohnPRyanFanPa1,"Happy 83rd birthday to the Joker himself, Mr Jack Torrance, aka Mr Daryl Van Horne, sometimes known as R.P. McMurphy &amp; could go by Jake Gittes, the one, the only- Jack Nicholson. "
BJSPsyD,Happy 83rd Birthday Jack Nicholson: Widely regarded as one of the greatest actors of his generation. Known.. via @OnThisDaycom
WestCoastTeam,"Happy 83rd Birthday to Jack Nicholson! ~Thank you for entertaining us and the joy you've brought us, with your heart filled talent! ~ We are wishing you a wonderful time! ~ Big respect, WovenWorld~ Love, Pip xXx #JackNicholson"
AMCTheatres,"Happy 83rd birthday to 3x Academy Award winner, Jack Nicholson! In 2010, he made his final big screen appearance in How Do You Know, directed by @canyonjim. Watch it again at AMC Theatres On Demand! https://bit.ly/2VuYeuF"
DavidGogoBlues,Happy 83rd birthday to Jack! 
ohdouger,"Happy 83rd Birthday to Jack Nicholson, my favorite actor of all time. "
ConWilSim,Happy 83rd Birthday to Jack Nicholson. The greatest Joker alive! (IMO) 
Xian_D_Paredes,Happy 83rd birthday to the greatest @Lakers supporter of all time - Mr. #JackNicholson! 
