username,tweet
Cyninbend,((hugs)) Happy Birthday! My 67th was just 2 wks ago--never thought I'd be this old! Not that I had an alternative plan...;) Hope you are having a great birthday month!
AVLCD4U2GROWITH,Happy 67th Birthday to you! 
FrankieIsReal, Happy 67th Birthday. Stay safe.
rosepoet,Happy 67th Birthday! Your birth year was a great year for champagne [and for supermums!] Big hugs! :-) 
lorisstuff123,Happy 67th Birthday 
angeande,Happy 67th Birthday! 
SheStillResists,Happy 67th birthday! Here's a Red Sox birthday hug for you! 
JKindred74, Happy 67th Birthday 
JaensonAllyson,"Happy, happy 67th Birthday and many, many more !"
HelenHippy1968,Happy 67th Birthday!!! 
DeannaLSmith,Happy 67th birthday! 
Iris10428,Happy 67th Birthday to a very special you!! 
Mivia1,Happy 67th Birthday ! 
FiddlFaddl,Happy 67th Birthday! https://twitter.com/maxwellsmm46/status/1253355682612600840
RMGaustad,Happy Birthday. It’s my 67th birthday as well.
Glo1859,Happy 67th birthday!
caviar_diva, HAPPY 67TH BIRTHDAY! Lovin' the hat! 
Debbiec817,Happy 67th Birthday ! Wishing a wonderful year full of joy.
larryredwing, Happy 67th birthday 
jhford87,The One with Joe Montana. Happy 67th birthday Dad! Love you and miss you every day! https://www.instagram.com/p/B_U4dgrJMeSbgBo6LroS6wA5kutTGzV_WTSz_c0/?igshid=8xjb3nywnw5k
ozzyhands52,Happy 67th Birthday. Hope you have many more
NicolaJaneFros1,A huge congratulations to your Covid19 free diagnosis and a very happy 67th birthday to you!! 
GeorgeSchmidt67,Happy 67th Birthday to JAMES RUSSO 
robereid, Happy 67th Birthday Happy Birthday to you 
sxcsoho,"I'm glad you are here. Happy happy merry 67th birthday, may we see many more with you! "
madmandreamer,"Congratulations on surviving Coronavirus, giving you an extra special reason to celebrate today! Happy 67th Birthday! "
isolovethelord,Happy 67th birthday strong Queen
mnralphie,"Happy Belated 67th Birthday to Elizabeth Hanna! (April 2nd, 1953) #ElizabethHanna"
BarneyCordero,"Happy 67th birthday, Mama! Miss you! Love you! @The Pinnacle Hotel and Suites https://www.instagram.com/p/B_Tku2Pl2EC/?igshid=o86zyee8du5o"
2017USAJane,"Happy Birthday! Please take care, we want to wish you a happy 67th, 68th, and many more too!"
paschof,"It's my 67th birthday today! I don't get a lot of interaction on here, but sitting here by myself I could sure use a couple of Happy Birthdays!"
SamLegg1,"@WVUSports @WVUfootball @avondalebludvls @WVUVarsityClub @BlueGoldNews @WVSIRecruiting Happy 67th birthday to former WVU('72-'74) &amp; NFL gridder, #8 All-American WR &amp; WVU Hall of Famer, Danny Buggs."
itsmedaniekaC29,Happy 67th Birthday To My Papa (Lolo) I Love You So Much!!! 
emma_m1984,"Happy 67th birthday owld pops, have a lovely day. Stay HOME, and stay SAFE. Lots of love, Emma n Dude.x https://www.instagram.com/p/B_RceAnHi2HYV-1-L7sHSFS8CczAuHLWo7pr280/?igshid=htwx1tfkkugm"
wthballs,"Happy 67th birthday to two-game MLB pitcher Joe Keener, who got a ""missing"" 1977 card on the blog a few months back. @70sBaseball"
schaefferbob8,Happy Birthday and today is my 67th birthday
marcusharmon_,Today would of been my Mom’s 67th birthday. Happy Heavenly Birthday you sweet angel. 
NYPennNews,"Happy 67th Birthday to former New York-Penn League prospect Joe Keener (1973 Jamestown Expos, 7-5, 3.09 ERA). Keener pitched in two games for the 1976 Montreal #Expos. #NYPennLeagueHistory"
sal18201,"Happy 67th Birthday Kevin, wishing you many future birthdays to celebrate w/friends and family! "
Poh_S_Lim,"@reykevster Happy 67th Birthday! Stay safe and stay healthy, God bless!"
eastwood_pat,"Happy birthday Kevin! I’ll be celebrating my 67th birthday next month. I’m not doing anything special either, had tickets to see Lyle Lovett but that’s been cancelled. Hope you have a great day "
SuddenwealthPC,"Kevin, Happy Birthday from Brisbane Australia. Without your 67th birthday the realisation that there was a place called Bodfish California would have been delayed quite some time. Keep safe, keep healthy, and have a great night. Imagine how good your 68th is going to be!!!!"
GonzoGuitars,Happy Birthday! My 67th was March 2. Welcome to the ....wait...I had the word right on the tip of my tongue... 
ARuelvin,"happy 67th birthday nanay, di po ko makakapag excercise ngayon dahil sa inyo "
tove_brien,Wishing you a very happy 67th birthday. 
s04_en,Happy 67th birthday to Bodo Menze! #S04
the00files,Happy 67th birthday @SebastianFaulks! Hope you have a devil-may-care day!
Priyandini_K,"20.04.20...... Happy 67th birthday papss. Semoga Allah selalu memberimu kesehatan, keberkahan umur, perlindungan, dan kebahagiaan dunia yang InshaAllah juga untuk akhirat. Amiin I love you "
CowboyMidnght,I hope you had a great day! Happy 67th Birthday. . 1953 was a great year. I am a fall baby- September.
SheilaPierce51,"Happy 67th Birthday,Kevin! :)"
HerbinHilbillie, Happy 67th Birthday Sir. I hope you enjoy it 
GlenMoyer1,Happy birthday! My 67th is just over a month away.
ravenshanice2,Happy 67th birthday
DAnn41400132,"Happy 67th Birthday, Kevin "
LaDeeDaKY,"Have a happy 67th Birthday, Kevin and many more! Celebrate you! "
mryj1203,"It’s my dads birthday too. He turned 94. You share the day with a very, very special man! Happy 67th and many more!! "
PonderingPrinc,Happy 67th Birthday!
Mskitty58_,Happy 67th birthday 
blaser_jeanine,Happy 67th Birthday! 
BNguyetNguyen,Happy 67th Birthday! Your Twitter bio is awesome. Thanks for being kind and compassionate. We need many more like you in this world! Stay safe and well! 
HerrickMartina,Happy 67th Birthday!! https://www.youtube.com/watch?v=y6Sxv-sUYtM Hope it leads to more happiness ahead.
gailyRN,Happy 67th birthday! May you have many more! 
yobosslasy94,Happy 67th earth birthday Momma I know heaven is treating you well . I love and miss you 
Anavalian1,Happy 67th birthday. Enjoy this special day
CAM1SEATTLE,Hey Kevin! Happy 67th! My 71st was March 11th. I used the phone conference call app to make everyone sing Happy Birthday. Amazon delivered the huge bag of chocolates I'd ordered 3 days before along with a new pair of Vionic Slippers. I live in PJ's &amp; slippers now. TREAT YOURSELF 
Dr_Pauline_Kerr,Happy 67th birthday. Have a good one and year ahead eh
filmbuff62,Happy 67th Birthday!! 
MusicalSuzy,"Kevin: Happy 67th birthday, young man!! "
PMB541,Happy 67th Birthday 
LuieT,"I wish you, a very, “Happy 67th. Birthday”! Virtual Parties, are all the rage, I hear! If you’re 67? You probably hated reading that remark, more than I did writing it! Many Birthdays, All thanks to POTUS, will be spent the same as yours! “Happy Birthday, Pal!”"
glenda_rainney,"Happy 67th Birthday, Kevin ."
criswell2_lisa,"Happy 67th Birthday, Kevin! Celebrate YOU today! "
Jaypeah,Happy 67th Birthday Kevin ! 
sadiegirl2003,Happy 67th birthday 
sdcoles915,Wishing you a very Happy 67th Birthday!
4everIMPEACHED,"HAPPY 67th BIRTHDAY, KEVIN!!! "
gerstfam,@reykevster Happy 67th Birthday! This years birthday may be a quiet one but I hope the year ahead is filled with happy and memorable moments!!
ScottBarrett9,HAPPY 67th BIRTHDAY!!! 
