username,tweet
luciddream_me,"Happy birthday ummi, hope this 52nd years bring happiness and grace "
StevenWABX,"Rock Calendar 4-23-88: Roy Orbison celebrates his 52nd birthday at a Bruce Springsteen concert. The audience sings Happy Birthday to him. No.1 Song: Where Do Broken Hearts Go- Whitney Houston -- No.1 LP: ""Dirty Dancing"" Soundtrack"
birthdaymeaning,"William Shakespeare's died on his 52nd birthday: 23 April 1616. A recent survey suggests that more people are born on October 5 in the United States than any other day. October 5 holds a not-so-surprising significance, as conception would have fallen on New Year's Eve."
AngryAndroid83,Yup. Happy 52nd birthday to John Cena.
EckhartPL,"Happy (maybe?) Birthday to William Shakespeare! We know William Shakespeare was born in April of 1564 and died this day in April 1616, and rumor always said he died on his 52nd birthday. Either way, we still want to celebrate his fantastic gift of words! "
Sailorsam56,"Bruce Springsteen ""Happy Birthday, Roy Orbison"" 4-23-88 https://youtu.be/TKfPPA8V-2s via @YouTube - DID YOU KNOW? ON THIS DATE - April 23, 1988 Enjoying a comeback as interest in his music surges, Roy Orbison celebrates his 52nd birthday at a Bruce Springsteen concert in Los Angeles"
andyblackledge,Happy 52nd birthday!
pwk2013,His 52nd birthday was less happy...
kylegarvey,"Born today in '36 = Roy Orbison. His 52nd, in 1988, was at a Springsteen concert where the audience sang 'Happy birthday' to him. Aw. Sweet https://youtu.be/fGB9cvWdn04 "
RickWIKY,"Rock Calendar 4-23-88: Roy Orbison celebrates his 52nd birthday at a Bruce Springsteen concert. The audience sings Happy Birthday to him. No.1 Song: Where Do Broken Hearts Go- Whitney Houston -- No.1 LP: ""Dirty Dancing"" Soundtrack"
BodPublishing,#Shakespeare died this day in 1616 (Happy 52nd birthday!) Shakespeare is Dead. Long live Shakespeare! Discover the many deaths in the work of the immortal bard in 'Shakespeare’s Dead' by @UniofOxford ’s Simon Palfrey &amp; @OldFortunatus http://www.blackwells.co.uk
uniteddjsradio,"Also in 1988 - Roy Orbison celebrated his 52nd birthday at a Bruce Springsteen concert, during which the audience sang happy birthday to him. "
ninny0410,RPM - Sugar Ray https://youtu.be/1_bMySFaxBA via @YouTube Happy 52nd Birthday Stan Frazier (drummer)!
ninny0410,The Wonder Stuff - Welcome To The Cheap Seats https://youtu.be/plP-ekxhN7E via @YouTube Happy 52nd Birthday Paul Clifford (bassist)! *Cannot verify date
StevenWABX,"Rock Calendar 4-23-88: Roy Orbison celebrates his 52nd birthday at a Bruce Springsteen concert. The audience sings Happy Birthday to him. No.1 Song: Where Do Broken Hearts Go- Whitney Houston -- No.1 LP: ""Dirty Dancing"" Soundtrack"
CKapoun,HAPPY 52nd BIRTHDAY TO @Dusty_Kat THE WORLDS MANLIEST BRONY LET YOUR PARTY CANNONS GO PINKIE! Always enjoy you through Twitter/Periscope and YouTube! Keep being you man! /) you can also view this video on Youtube and Vlare: https://youtu.be/rLfpL7fI5KM
WeAreHumComUSQ,"Happy maybe-birthday Shakespeare (we know when he was baptised but not the exact date of his birth)! And on a more sombre note, this was the date of his death around his 52nd birthday. Must have been one heck of a party. #ShakespearesBirthday @LostPlayhouse"
Leaveit2Divac,"First and foremost, I would like to wish Bimbo Coles a Happy 52nd birthday. That is all."
BappyRayhan8,"#Happy_Sparkling_52nd_Birthday (19th_April) To The One Of My Most Favourite Extraordinary Super Handsome Indian Legendary Actor, Producer, Comedian, Singer, Dancer &amp; Model- The One &amp; Only Blockbuster Dashing Hero @ArshadWarsi.....#Arshad_Warsi !!!!!!!!!!"
ro_marioo,Happy 52nd Birthday Andreah Viene Patricia R. Abiabi Ma happy unta ka karon saimong bday since tigulang naman ka niya isog naman kayo ka ikaw na ang bag-ong title holder sa MISS MUSHROOM 
True_Thoughts,#EarthDay is 50 years old and today is my son's 52nd birthday! Happy Birthday Scott! Look how this day is being celebrated. 
MynzVisuals,Happy Birthday Father Happy 52nd Birthday 
954Busta,Happy 52nd birthday
