username,tweet
DontAggravateMe,"Happy 34th birthday to my Aunt, Sheneda (baby at the bottom) . My cousin Lisa on the left, my mom in the middle and their friend, Ros on the right. Oh I was in this pic too because my mom was pregnant with me lol ( 1988) "
Gallus56,Sorry. Happy 34th birthday @jessmilbournjr *
BFTP4780,"Happy 34th Birthday to actress #AmberHeard! Heard is best known for the TV show “Hidden Palms” and for the films “Friday Night Lights”, “All the Boys Love Mandy Lane”, “Never Back Down”, “Pineapple Express”,… https://www.instagram.com/p/B_TKO49DcQ1/?igshid=zi49auci5ipx"
WindyCitySlam,.@WindyCitySlam wishes @AEWrestling’s @SexyChuckieT of The Best Friends a happy 34th birthday! Here’s Chuck along with @trentylocks and a fan at @StarrcastEvents last summer in suburban Chicago. #wrestling #AEW #AEWDynamite #StarrcastIII #ChuckTaylor #ChuckieT #BestFriends
Jordan48086342,happy 34th birthday to Magic Mike XXL Amber Heard 
Jordan48086342,happy 34th birthday to never back down Amber Heard 
MoviesTVPolls,Happy 34th Birthday @realamberheard! What TV series or Movie do you like #AmberHeard in most? #AllTheBoysLoveMandyLane #DriveAngry #Aquaman #3DaysToKill Vote &amp; Retweet your fave #birthday #poll #vote #retweet
Christo93068207,Happy birthday to you today @MoneyLynch and I hope you have a awesome 34th birthday today and stay safe out there today
BirdieLucyloves,Happy 34th Birthday Amber Heard!!!
ESPN1320,"Happy 34th birthday to the best RB in @CalFootball history, Marshawn Lynch #BeastMode"
BappyRayhan8,"#Happy_Sparkling_34th_Birthday To The One Of My Most Favourite Exceptional &amp; Extraordinary Super Cute, Pretty, Beautiful, Adorable, Sweet, Smiley And Lovely American Young Actress &amp; Model-The Only Sweetie @realamberheard.....#Amber_Laura_Heard !!!!!!!!!!"
DipoloMaria,Happy 34th birthday Robert Sugden-Dingle #Robron
alec_behan,Happy 34th Birthday to Amber Heard! The actress who played Mera in Justice League (2017) and Aquaman (2018). I only like her as Mera. Not as a real life person. #AmberHeard
maisiemacx,"Happy 34th birthday to one snarky, hilarious, morally dubious, handsome, stylish, misunderstood, leather jacket wearing, dodgy deal making, bad joke telling, loving husband, brother, father and culinary genius. You had so much to give. Miss you Rob you absolute belta #robron"
Tucker_TnL,"Happy 34th birthday, Marshawn Lynch! "
HBDrohit,"Phir Hera Pheri on Zee Cenima It's 34th time, I am watching this movie...... @akshaykumar "
teram1n,"Finally my 34th birthday today My sister gave me happy birthday song:) Because of corona virus, I can’t go out and meet my family or friends... little bit sad "
