username,tweet
aljawann,HAPPY 94th BIRTHDAY QUEEN ELIZABETH enjoy your day 
Batmancita,Happy 94th birthday to my great grandma 
CROWN__f,Here's Wishing a happy 94th birthday to Queen Elizabeth II. @queenelizabethiiuk #Queen #QueenElizabethII #HappyBirthdayQueenElizabeth #QueenElizabethStyle #QueenOfEngland
rnbirv271,Happy 94th birthday to my amazing incredible honorable and motivating Nanna Doris Graves... action Jackson ...its because of you so many can be proud of the skin their in and admire that we are all powerful and… https://www.instagram.com/p/B_WLv6sgmf3/?igshid=1ldmpk1c2p3ci
CROWN__f,"Here's Wishing a happy 94th birthday to Queen Elizabeth II. In all the years that she has spent in the public eye, she seldom made any wrong sartorial choices. She sure can give us a lesson or two on how to dress… https://www.instagram.com/p/B_WLhcxgxbb/?igshid=ttm19de6l2lk"
Tomarms04462858,Happy 94th Birthday. GOD SAVE THE QUEEN
ProdigyParadox,"4/23/2020 Today Is The Queen’s 94th Birthday! The Queen Has Certainly Had An Interesting Life So Far, From Being A Mechanic/Driver In The Military In World War 2, To Having Kids, Supporting A Generation Of People And Even Doing So Till Today! Happy Birthday! #QueenElizabeth"
UVicSC,"Happy Belated Birthday to Her Majesty Queen Elizabeth II on the occasion of her 94th birthday. Here is a video of her parents, King George VI and the Queen Mother visiting Victoria in 1939. Film shot by Mathew Ko. @UVicLib @uvic @RoyalFamily http://contentdm.library.uvic.ca/cdm/singleitem/collection/collection42/id/0/rec/2"
__theShadeGOD,Happy 94th Birthday 2 My Great Great Grandma 
mactunguyen,"94th day of spring break, 73rd day of quarantine This was supposed to be made yesterday but after more than 90 tweets about this i guess i'm tired already lol Well it was my niece birthday yesterday. Happy birthday my girl "
MissAleishaUSA,Love this! Happy 94th birthday to the Queen of England! 
ctbere,"Happy 94th Birthday to my amazing Mom. @Castletown Bearhaven, Cork, Ireland https://www.instagram.com/p/B_U14aBlvlwC5zobJAPBckqxotK_QZMasR4zyc0/?igshid=1cx8yqy9c0kzg"
536Clowns,Happy 94th birthday to your Queen. Love seeing those pics when she was a Mechanic and driving those trucks. She's a good one.
Desilou42,Happy 94th Birthday to Queen!! 
joellekbeebe,Happy 94th birthday to my grandpa K. 
adammoss1310,Greetings to Her Majesty on Her 94th Birthday and wishing Her many more healthy and happy years to come. We beg Her Majesty stop our NHS from being privatised and stop it from being on any trade deal with USA immediately! @RoyalFamily @thesun @itvnews @BBCNews @UKLabour @ConHome
EmpeyWayne,"Prince Harry, Meghan Markle And Baby Archie Video Call The Queen To Wish Her A Happy 94th Birthday From L.A. "
AndrewzCooper,"Happy birthday to my mum (her 94th or 95th if you count her actual birth day), William Shakespeare, @MikeWalters60 and everyone else who has birthdays today. "
muhammadabushab,"Happy 94th birthday my queen Elizabeth II ... May your majesty enjoy long live happily warm feeling with the beloved close people to your heart... Always wished to meet you, your highness Happiest birthday ever #QueenElizabeth"
SJCarras,"Happy 94th birthday, Queen Elizabeth!"
giftnyirenda5,Happy 94th Birthday Queen Elizabeth II 
Jodylovesroyal2,Happy 94th Birthday to the Queen! https://youtu.be/WFBLy3dBagU via @YouTube #EarthDay
AnnQld1,Surreal watching this video of Queen Elizabeth as a child. Brilliant. Happy 94th Birthday .
JayArjun5,Happy 94th Birthday to the Queen! https://youtu.be/WFBLy3dBagU via @YouTube
