username,tweet
ApexCycleCA,Happy 77th birthday to Paul Smart! His win at the Imola 200 in 1972 aboard the cutting-edge Ducati 750 was a pivotal moment in Ducati's history. This was commemorated with the Paul Smart 1000 LE in 2006 which is… https://www.instagram.com/p/B_WFGhdAxDS/?igshid=dahjt0mhg4u0
TheCelGames,Days blending together have gotten so bad for me that I just realized I forgot to call my dad and wish him a happy 77th Birthday. His birthday was las week...I feel like shit right now...
SpeakNSpirit,Remember when we could actually get together to celebrate instead of yelling across the street?! Those were the days! Happy 77th Birthday Uncle Bill! 2020-04-23T21:35:16.000Z
StatsCentre,"Happy 77th birthday to Hockey Hall of Fame goalie Tony Esposito. To this day, he still ranks 1st in @NHLBlackhawks franchise history when it comes to career games (873), wins (418) &amp; shutouts (74). He also still sits 1st in CHI playoff history when it comes to games (99) &amp; SO (6)"
HossasBitch81,Happy 77th birthday to my favorite man behind the mask...Tony Esposito!
SNstats,"Happy 77th Birthday to Tony Esposito! He is 1 of only 4 goalies in #NHL history to win the Calder &amp; Vezina Trophies in the same season, joining Ed Belfour, Tom Barrasso &amp; Frank Brimsek."
jkubatko," Happy 77th birthday to Gail Goodrich! 1031 GP, 18.6 PPG, 3.2 RPG, 4.7 APG 45.6 FG%, 80.7 FT% 5x (1969, 1972-1975) 1972 "
luciacosen,Happy 77th birthday to my grandpa 
KantsImperative,Happy 77th birthday to the man who inadvertently cost the Jazz a chance to draft Magic Johnson! 
Ainturner,Happy 77th Birthday Tok i miss youuuu &lt;3
VintageCanucks, Happy 77th Birthday to one of the all-time great goaltenders Tony Esposito Tony played for the WHL Vancouver Canucks in the 60s 
puckhunter2020,Happy 77th birthday to the younger #Esposito brother! #NHL #hockey @CompleteHkyNews @HockeyHallFame @mikecommito #Canada #BlackHawks #ChicagoBlackHawks @NHLBlackhawks #legend
NBAHistory,"Join us in wishing a Happy 77th Birthday to 5x #NBAAllStar, ‘72 NBA Champion, &amp; @Hoophall inductee, Gail Goodrich! #NBABDAY"
Dave_Stubbs,"Happy 77th birthday today to the legendary Tony O. From last May 5, just one more example of why I need to get out more. "
melhall10,"It’s our lovely Stepdad Tony’s 77th birthday today. To the best Stepdad &amp; Grampy - Happy Birthday, we love you very much &amp; so wish we could see you today. Let’s show him some lock down love peeps. #BirthdayInQuarantine #StGeorgesDay #thursdayvibes #StayHome #StaySafeStayHome"
Dave_Stubbs,"Happy 77th birthday to Tony O. A 2017 Tampa visit w/ legendary brothers Tony &amp; Phil Esposito, and Tony on last month’s 50th anniversary of his modern-day shutout record https://www.nhl.com/news/phil-esposito-tony-esposito-share-stories-in-sunday-long-read/c-287373038 and https://www.nhl.com/news/tony-esposito-shares-memories-from-record-setting-first-season/c-316433414 @NHLBlackhawks @TeamCanada1972 @HockeyHallFame @NHLAlumni"
TundePhoster,"I moved to Lagos, into her house rent-free. Started my business from her dining table, & then moved to her kitchenette. See where I am today. Destiny helper. Thank you for the leverage. Not all heroes wear capes. Abiyamo tooto. Happy 77th Birthday to a GrandMother &amp; Mother. "
ashbeeeeeeee,HAPPY 77TH BIRTHDAY MY LOLA ILOVEYOUUU MORE THAN U KNOW. MAY GOD GIVE BOTH OF YOU A GOOD HEALTH 
