username,tweet
callmaggie,Happy 80th Birthday Papi We LOVE you and miss being together . . . . #happybirthday #birthdaywishes #80s #fun #joy #photooftheday #picoftheday #laugh #love #loveyourself #family #happy #instagood… https://www.instagram.com/p/B_WBHi-lK4j/?igshid=gwvqveziw8bi
ninadontbrev,happy 80th birthday
Chiebuniem_,Just realized the author's 80th birthday was just some days ago! Happy birthday @Jeffrey_Archer.
MJ_Ellis,"It turns out that with a bit of planning, cake, fizz, a variety of quiz questions, some badly played ukuleles and a video call app you can have a decent 80th Birthday Lockdown Get-together. Happy Birthday Mum."
MorningPint,The homie hired mariachi to come serenade his father for his 80th birthday! So happy this went so smoothly. 
PeterODonneII,I lost my Dad to #ALS 15 years ago. My family doesn't really talk about what happened to him. I submitted his name for inclusion on this map to make sure he is not just another ALS statistic. Happy 80th birthday Dad! Please go to http://iamals.org/everycommunity #EveryCommunity
CynthiaGoblue,I remember my mom's 80th. I miss her everyday. Happy Birthday to you mom. You are lucky to have each other!
GloriaEstefan,"HAPPY 80th BIRTHDAY for your wonderful MUM, @davidriley0808 I know she had wonderful plans with you which couldn’t happen so please give her my love &amp; make her day special as you always do! "
27Tawnyowl,Happy 80th Birthday to the The Six Million Dollar Man! 
HannahRubenRDM, Isn't my grandpa the cutest?? Happy 80th birthday!! #80thbirthday #bestgrandpaever
liverpool_fan_8,Went out for the NHS clap and everyone from the houses was out shame on the people in the flats was emotional and then it was neighbours 80th yesterday and everyone sang happy birthday to him
balfour_rhona,Sounds good Isabelle. Happy 80th birthday to your lovely mum xxxxx
Jenkins22514297,"#TheBigNightIn Happy 80th Birthday to Bob Sturdy aka The Bob Father, for next week. We’re so proud of you and love you zillions all your family "
Laura37958591,"Happy 80th Birthday to my lovely grandad, Laura xx #BigNightIn"
funkywebster28,"#BigNightIn Happy birthday to my mum Julia Webster, whose 80th birthday plans have all been put in hold, the party will be bigger and better when this is all http://over.xxx"
SHFaulkner,"Happy 80th birthday to my dad Derek who is looking after my mum who has sever #dementia. They have been married for 37yrs and are an amazing couple. Love Steve, Katy and Freddie xxx #BigNightIn #bestdad"
IreneHalliday66,#BigNightIn Happy 80th Birthday for tomorrow to my father in law Eric Halliday. Hopefully celebrate soon when we come out the other side 
mxdsousalice,"Happy 80th birthday to our grandad Tommy! Lots of love from Maddie, Annie, Jess and Jodie!!! #BigNightIn"
kpgarvey1,#BigNightIn pls say happy 80th birthday to John McManaman. He’s stuck in on his 80th and also has to have dialysis. Chin up John
EPCOT02,Happy 80th birthday today to my grandad! Celebrating today with Nan and we’ll have a big bbq when it’s all over #BigNightIn
NorthBelle4,I hope your Mom has a VERY HAPPY 80TH BIRTHDAY! 
_rheanay,Wow you’re so stunning Happy birthday boo 
Kleemann83,Happy Birthday to your Mom Happy 80th birthday
iDemops,"A fitting #tbt this week. Today would’ve been Dad’s 86th birthday. So here’s a happier time when we celebrated his 80th back in our old house in Arlington. Happy Birthday, Dad! #family https://www.instagram.com/p/B_VLx6CpxAy/?igshid=9isng9vql8en"
PSMarkJohn1,Barry NPT Officers wishing a Happy 80th Birthday to a local socially isolated resident Margaret Evans @swpolice @SWPBarryandVOG @SWPCardiff #StayHomeStaySafe
FindingMyVoice2,"Mum's 80th birthday today. We had a socially distant get together with me, my mum and my sister. People were driving past tooting and shouting out Happy Birthday. One lad on a moped did the same and then came back later to give mum a bunch of flowers. So sweet! #kindness"
karl_auer,I feel love Call me Flashdance Take my breathe away ... Happy 80th #Birthday Giorgio #Moroda 26.04.40
PHEGROUP,HAPPY 80th BIRTHDAY!!! Sam Sherman 
FilmDetective,"Wishing a very happy 80th birthday to legendary independent producer and distributor Sam Sherman! Co-founder of Independent-International Pictures, Sam has had a hand in “Satan's Sadists” (1969), “Dracula vs. Frankenstein” (1971), and more! https://bit.ly/TFD_Independent"
Pitcrewprincess,Happy 80th Birthday Mom!!
SKI_NYFRS,This afternoon we went to wish a retired divisional officer of Skipton Fire Station a very happy 80th Birthday outside of his home A great turn out by his friends and family #2metersapart #socialdistancing #firefighters #communityspirit
PureOutlaw,Happy 80th-something birthday to one of my favorite artists @ManuelCouture #heartofanartist #kingofbling
TherapistIs,I want to say happy 80th birthday to my dad! 
callmaggie,Happy 80th Birthday Dad You are the most remarkable person I have ever known. You are my hero and I am blessed to call you dad. I can’t wait for all of us to get together and celebrate your 80th birthday!!! I… https://www.instagram.com/p/B_UzBoRljHP/?igshid=1ju7g586do2w1
THE_SEAN_1,Happy Birthday おめでとうございます 
JillBemi,"Wanted to wish my mom a happy 80th birthday today. She has no idea but we have planned a social distancing birthday bash for her. Involves balloons, cardboard sign and my sister’s front yard. Happy birthday to the best mom in the world."
randydcornelius,Happy 80th Birthday Iowa Association of Nurse Anesthetists ⁦@IANACRNAS⁩ ⁦@IowaSRNAs⁩ ⁦@aanacrna⁩
ChemMouse,Excited that this webinar was over capacity #greenchemistry #EarthDay Also happy that it will be available online see link as I was on Skype with head of department and then an 80th birthday party on zoom - looking forward to listening to John’s inspiring words 
MissyMotivator,HAPPY 80TH BIRTHDAY TODAY MAM DAD IS LOOKING OVER US ALL XX 
Jeannet02984232,Happy 80th Birthday 
Georgiesgurly,"They did the same for my son (now in his 30's) on his 9th birthday. For my Mum on her 80th, 7 years ago. The nurses brought in the cake whilst singing 'Happy Birthday' She was so touched she burst into tears. Your nurses are incredible. Thanks for going beyond medical care "
eintracht_stats,"Alles Gude zum 80. Geburtstag, Oskar #Lotz. Happy 80th birthday Oskar Lotz. @Eintracht 1965-1969 144 Pflichtspiele/comp' matches 30 Tore/goals 13 Vorlagen/assists #Eintracht #SGE https://twitter.com/Eintracht/status/1253254533553295360"
CCMMotorcycle,"Happy St George's Day! As well as being England's patron saint, our founder was actually christened George Alan Clews. Sadly he passed away, just short of his 80th birthday on 30 July, the very day his great grandson and Austin's grandson, was born. His name? George, of course! "
ninny0410,"Dale And Grace - Stop And Think It Over https://youtu.be/9WRk-qMXGVY via @YouTube Happy 80th Birthday in Heaven Dale Houston - April 23, 1940 – September 27, 2007"
BillingshurstPC,"His 80th.... wow, Happy Birthday "
KamalAdefila,Happy 80th Birthday to the Emir of Ilorin. 
GovernorAtunwa,"I heartily felicitate with HRH Dr Ibrahim Sulu-Gambari (CFR) Maimartaba Ilorin, on his 80th Birthday. You have been a wonderful Royal Father and a solid backbone to the entire Kwara State. May your reign continue to be peaceful and harmonious. Happy Birthday Your Royal Highness https://twitter.com/atunwa_1/status/1252928407073099776"
EnglishMartyrs,Surprising Margie Collins for her 80th birthday yesterday! She’s been a member of welfare staff since 2008 at EM! We sang a rousing happy birthday for her as she’s shielding to stay safe. @seftoncouncil @SeftonBubble @ALPSITnews @champnews @PicCatholic
soph13lauren,"happy 80th birthday grandad, miss you more than you’ll ever know "
sentosaprincess,Happy 80th Birthday Mum 
BillingshurstCC,Happy 80th Birthday @newie27 Have a great day!!
dan4ade1976,I wish you happy 80th year birthday sir. Age with grace
