username,tweet
SBRBNKodak_BDTW,Happy Birthday from 32nd and MLK for the GHOST TOWN HOMIES IN FRONT IF ELVE’s!!
Galaxy_AFI,Happy 32nd Wedding Anniversary to my parents today! 
JokesOnU23,Happy 32nd birthday 2 me here's to another year :)
illinilegends,• Happy 32nd Birthday on Thursday to @IlliniBaseball grad @LeeZerrusen . He's now director of @IlliniAthletics @VarsityI .
sjsharkshistory,Happy 32nd Birthday to #SJSharks alumni forward TJ Galiardi. Getty Images
radiogoldsmith,Happy 32nd birthday Hospital Radio Fox (now called something else) it’s where it all started for me back in 1988. I can honestly say some of my fondest memories are from my HR days. 
MassiveReport,Happy 32nd birthday to #Crew96’s @Pedro32santos!
AaronYoungIA,Everyone wish my brother @rcyou a happy 32nd birthday today! 
SBRBNKodak_BDTW,@MommaLynch24 HAPPY BIRTHDAY TO YOUR SON FROM ALL THE REAL ONES ON 32nd &amp; MLK HANGIN OUT IN FRONT OF ELVE’s BBQ #GHOSTTOWN
City_Xtra," Happy 32nd Birthday, @stephhoughton2! 164 Appearances 6 Seasons 15 Goals FA Women's League Cup [x3] FA Women's Cup [x2] Women's Super League [x1] Captain. [ @mcwfancast] #MCFC | @ManCity | #ManCity"
jkazer25,@johnkrasinski hey I know you probably wont see this but my wife loves you and is the biggest office fan I know. today is her 32nd birthday and her first birthday as a mum! I was just wondering if you could wish lisa a happy birthday. Also cool if not haha loving #SGN
yourbucketliz,"Happy 32nd birthday to this humble lad! The G.O.A.T Justin Brownlee! I wish you good health and of course, more championships with Ginebra to come. Stay safe! #NSD (Photo credit to the owner)"
illinilegends,Happy 32nd Birthday on Thursday to @IlliniBaseball grad @LeeZerrusen . He's now director of @IlliniAthletics @VarsityI .
KittyKat3801,THIS IS SUCH A HARD DECISION OMG
dodgers_cards,"Happy 32nd birthday to Dee Gordon. The son of a major leaguer; Gordon came up with the Dodgers in 2011 &amp; played in LA for 4 years. He was an AS in 2014, the same season he became the 1st Dodger in 38 years to lead the NL in stolen bases &amp; one year before he was traded to Miami. "
SimonBeaumont04,"Happy birthday just checking, is that pass you the 32nd glass of wine of the day? Happy 21st "
TopDownPopes,I literally went to watch it on my 32nd birthday. Happy Birthday btw.
WHLGiants,"With their second-round pick (32nd overall) the Vancouver Giants are thrilled to select forward Ty Halaburda out of Victoria, B.C. Happy birthday Ty! Welcome to the Giants!"
Samuelitooooo55,Seems like this is the case for everyone until their 32nd birthday There will be that one year for everyone when their age matches the day on the calendar haha (mines was last year) Happy birthday! 
Eich_AJ,MLB hitters since 1901 with multiple seasons of at least 55 stolen bases and 200 or more hits: • Ty Cobb (1909; ‘11; ‘12; ‘15; ‘16; ‘17) • Juan Pierre (2003; 2006) • Dee Gordon (2015; 2017) Happy 32nd birthday!
WoolieButton,Happy 32nd Quarantine Birthday To Meeeee —————————— As a celebration I’m opening the website today &amp; to all you lovelies who were nice enough to keep reading mamamailbox SUBSCRIPTIONS are now available too! … https://www.instagram.com/p/B_SiWqNFPPJ/?igshid=cclsk174h3de
KittyKat3801,Please update us on this :)
SportsTechie17,"In addition, Happy 32nd Birthday to @Mariners second baseman, @FlashGJr! @MLB #Mariners #TrueToTheBlue #Seattle #MLB"
KittyKat3801,I NEVER ASKED FOR YOUR HELP
KittyKat3801,THE MOOD I'M IN KEEPS CHANGING LIKE THE WEATHER
KittyKat3801,I THINK IT'S BEST WE AGREE TO DISAGREE
KittyKat3801,MAYBE I SHOULD CARE A LITTLE MORE ABOUT WHAT EVERYBODY THINKS
KittyKat3801,YOU THINK YOU'RE BETTER THAN ME
KittyKat3801,Oh ok
KnowsleySouth, Happy Birthday Wishes Huge happy 32nd birthday to one of our vice captains and chief fine collector @tommyarmstrong4 Try and have the best day - &amp; 
