username,tweet
asiimireritah,Very thoughtful birthday delivery. Happy 30th Birthday Maurice. 
Lawver29,"@kahlalee this ones for you, Happy 30th Birthday! "
SacCIO,Happy Earth Day! Happy 30th Birthday to Tower Cafe in Sacramento founded on Earth Day in 1990 by Jim Seyman. Thank you Jim! #EarthDay50 #TowerCafe30
marieJ4242,For all your birthday's That were your worst days I was always here waiting for you to come home.... Happy 30th birthday My better half Love of my life My Twin RBR 
csernatamayo_md,Happy 30th Birthday Brother! We couldn’t be together physically but we together in spirit. And virtually. #earthday https://www.instagram.com/p/B_T4F-Ch7JexVCH1fgcBiggIPtqpx6q8F7mjf80/?igshid=srxzirxa9sm2
Garratt_Shelly,Happy belated 30th birthday 
denisegeeves,"Happy Birthday Sir. You share your birthday with my lovely mum, who would have been 89 this year, so I will be thinking of you both on 30th. I hope you have a wonderful day and are spoiled rotten. Enjoy the spitfires. My Dad would have been so envious. xxxx"
JenMonty22,Throwback to the night we made you a cake and gave it to you after the show in Charlotte...So many memories from 2012 to now...Happy 30th Birthday! 
AMBERSTRAUSER,"Happy Earth Day! 6 months shy of my 30th birthday, I created a list of 30 things to accomplish before age 30-something to benefit self, another person and the planet. One of my ‘to Dos’ was to have a tree planted;… https://www.instagram.com/p/B_T0iYpnhPm/?igshid=1g3j8l586gdxr"
KnowledgeBearer,Happy 30th birthday to me!!! Thank God for life!!! 04/23/1990. 
Tip215,It’s crazy cuz u been planning ya 30th for years lol sorry for ya lost Si HAPPY BIRTHDAY though 
LetsGetUMoving,Happy 30th Birthday Nina Janina - we love love you https://www.instagram.com/p/B_TybOZJS-UIkrvGQoprFaXFmq5WEDuFWm5QF80/?igshid=129q84hq7364m
k1lldoll,one last happy mf 30th birthday to @suicideLEOPARD
PattiL38373835,"@SamHeughan Hi Sam! I want to wish you an early Happy 40th Birthday! You’ll be flooded with good wishes on the 30th, so I thought I’d get my wish for a great day to you early! Even tho you’re ‘stuck’ in Hawaii, I hope you really enjoy this milestone BD. Here’s to many more! "
SaliyahSizemore,happy 30th birthday Rubyyyyy !! love yu vvvvvvvvv muchhh !! 
XXLEESHAXX1,I know I'm late on this but I wanna say Happy mutha fuckin 30th birthday @machinegunkelly thank you for all that you do for us YOUR an inspiration man!!! Much LOVE #HAPPY30THBDAYMGK
earsoverbabies,Listening to @machinegunkelly for his 30th and Rap Devil came on... god damn life was so much simpler back then and this song’s STILL a banger. Happy MF Birthday King 
ColbyVia03,Happy birthday MGK! Happy 30th bday legend 
DatPiff,Happy 30th birthday to Machine Gun Kelly favorite song from him? 
Galina_Aguirre,"Happy 30th Birthday to my eldest @_Berto69_ no matter how old you get, you’ll always be my baby! I love you https://www.instagram.com/p/B_Tq4JgFGcX/?igshid=giqx7b2mjw6u"
tonywriter1,@jade_windley Happy 30th Birthday Jade Xx 
val_jmc,happy 30th birthday MGK 
karmaababyy,Happy Mo'Fuckin 30th birthday @machinegunkelly!!! Please bless us today and drop another freestyle Those covers ain't enough 
xo_babygirlll,Happy 30th Birthday @machinegunkelly!!! I hope you've had a great day
rockxtqueen,i dipped from twitter for a bit but i have to wish Kells a happy freaking 30th birthday!!! i love that man so much. He seems so happy and he’s made this year a lot easier to get through. can’t wait for all the new music.... @machinegunkelly
astonishing_jo,MY FRIENDS SURPRISED ME WITH A BEETLEJUICE-THEMED ZOOM BIRTHDAY AND I CRIED. THANKS @SeaJaytoGo FOR ARRANGING. HAPPY 30TH BIRTHDAY TO ME. 
car_bloomfield,"Happy 30th Birthday to the Hubble space telescope! @NASAHubble have made available a way for us to see what Hubble was ‘looking’ at on our birthdays at some point in the last 30 years! So cool, check it out. #Hubble30"
bocasterline,"Hope even tho there was some sort of drama going on today that you at least got to feel the love from the fans and the fam on your 30th birthday. We luv u! So happy you were born, you are an amazing artist and I am proud to be EST for life!!! Happy Birthday @machinegunkelly"
xeIars,@machinegunkelly happy 30th birthday you’re a legend 
angelamwagner,"In less than two seconds, I went from, “who the fuck would pay for this???” to, “if @dolph_lundgren doesnt personally wish me a happy birthday (Oct. 30th), no one loves me.” @BookCameo"
jvsaro,"On the 30th anniversary of Hubble telescope, NASA has setup a cool tool where you can give your birthday and see an image that Hubble captured in deep space. Happy Galaxy viewing! https://imagine.gsfc.nasa.gov/hst_bday/"
IukeandIeias,"happy 30th birthday to the talented, incredible, sweet and adorable actor we all love and adore "
Royal_DS4L,Happy 30th Birthday to the one and only @machinegunkelly #XX
rjcarvis,Happy Birthday!!! @ErinHillsGolf forgot my 30th and I only live 2 hours away 
Christo93068207,Happy birthday to you today @machinegunkelly and I hope you have a 30th birthday today
matthewsoffer,"I hope there comes a day where one of my favorite teams can wish me a Happy Birthday. It’s June 30th. @Ravens, @orioles @Capitals"
acbleach,Happy 30th Birthday To This Beauty. #GrindCrusher30
gucciiipaigeee2,HAPPY MF 30TH BIRTHDAY BABYS !! @machinegunkelly @suicideLEOPARD
DannyOLearyNH,"Happy 30th birthday to @AndrewTaverrite!! 30 rotations around the sun! The big 3-0! The start of your fourth decade of life, congratulations! "
anthony_long12,"I love seeing @machinegunkelly so happy, but Happy 30th Birthday man!!! "
Rebecca79785357,@mcbridemelissa I am making a compilation video for my girlfriends 30th birthday and she LOVES the walking dead. Would you be willing to send a video clip saying happy birthday? Her name is Kate.
_JazAttack,#EST.. wtf we doing? (Love you guys tho) It's the Blonde Don's 30th. He dropped this today... Why aren't we moving in views? #HAPPY30THBDAYMGK #LoveOnTheBrain Happy birthday @machinegunkelly
Rebecca79785357,@bobsaget I am making a compilation video for my girlfriend's 30th birthday and was wondering if you would be willing to send a clip saying happy birthday? She LOVES full house. Her name is Kate
anthony_long12,Watching ⁦@machinegunkelly⁩ so happy for his Birthday is truly a blessing and he saw his nephew for the first time since he hasn’t seen him in months! Happy 30th birthday man!!! 
allirahlocke,"Happy 30th birthday to the Rap Devil ! Dude , thank you for pushing the musical boundaries of rap. You are a legend ! Have a cracker of a day @machinegunkelly"
KyloJared,"Joker talking to Gotham Mafia | Batman [4k, 30th Anniversary Edition] https://youtu.be/n0H5Gy5yNb0 via @YouTube @JerryHall_ Happy Birthday to Jack Nicholson my Favorite Joker From my childhood "
iLLmatic____,Thank you everyone for wishing me a happy 30th birthday yesterday. I appreciate you all.
SardisInTouch,Happy 30th Birthday Matt!!! We hope you had an amazing day! #thirty #happybirthday https://www.instagram.com/p/B_TWC19A-ue/?igshid=g4so2seik7zb
SardisInTouch,Happy 30th Birthday Matt! We hope you had an amazing day! #thirty #happybirthday https://www.instagram.com/p/B_TVh4IA4vn/?igshid=lbqpkapep7t2
TAlyxxandr,"Wishing a very happy 30th birthday to @machinegunkelly! Your music has changed my life so much over the years. From the day we exchanged mixtapes in 2010, to your first album release party in 2012, to your first EST… https://www.instagram.com/p/B_TVGw7J83q/?igshid=1b5ezv7qyvql4"
AshPoll88,Happy 30th birthday to my little sister @laurajane9090 Knowing all the love that you have surrounding you from us all I know it will be an enjoyable day. I love ya more than ever and I couldn’t be more proud of you and when I call you lil sis.
chyanne1130,Happy 30th birthday to the sexiest man alive love you!! @machinegunkelly
faithmarie_77,Mine is on the 30th! I'm right there with you! It's all i want too! Happy early birthday! 
papousek29,"Thanks to this Covid shit, I couldn't get my MGK portrait for his 30th but I guess that gives me more time to try and get @machinegunkelly himself to pick the portrait for me Happy Birthday, baby! "
AngelicPigeon,"Okay but like why didn’t they sell those birthday hats before his birthday? Legit I would’ve have bought one, and worn it. Happy 30th Birthday, Colson. You wonderful human bean. Love you."
pea_26_,Happy 30th birthday MGK!!!!! @machinegunkelly
burgurb0y,Why do Machine gun kelly fans use the f word in the weirdest places? I guess today’s his bday and I’ve seen shit like “happy fucking 30th birthday mgk” and “happy birth fucking day mgk.” Like bro fucking shut the fuck up saying fuck doesn’t make you fucking edgier you fucks
BendanaAshton,HAPPY 30th BIRTHDAY @punyeka
DreamyTunez,Happy 30th birthday to #machinegunkelly https://www.instagram.com/p/B_TSh0hltSn/?igshid=14d96h335x86y
Rebecca79785357,@YoungMAMusic you are my girlfriend's all time favourite artist and I am making a compilation birthday video for her 30th I was wondering if I could get a video clip saying happy birthday to her? Her name is Kate
Famous_Anfield,Happy 30th birthday more years with prosperity and grace 
Ben_poetforhire,"Happy 30th birthday to my darling Skye Jackson, Taurus Poet Queen of Gentilly "
Rebecca79785357,@wwwbigbaldhead I am making a special compilation video for my girlfriends 30th birthday and she LOVES the walking dead. Can I get a clip from you saying happy birthday? Her name is Kate.
