username,tweet
easealyssa,HAPPY 18TH BIRTHDAY!!! LOVE AND MISS YOU SO MUCH 
Clifton5Lisa,"@MarcusRashford @ManUtd It is my sons 18th birthday today, obviously we can't celebrate it as planned. However , we are together and healthy. Has Man Utd fan I think a happy birthday from you would make his day a whole lot brighter. Xx"
kgarciaa06,"The realist bitch was born today, God has blessed me with the best friendship ever! Happy 18th birthday my love I LOVE YOU @josephineharo"
TriveHacks,Happy 18th Birthday Wishes 
hannvillanueva,"To my bestfriend and my forever miss Bugcaon 2018, Happy 18th birthday Prang Welcome to legality bestfriend I love you so much "
doomsdayluv,HAPPY 18TH BIRTHDAY TO MY BBY ASHLEY! ILYSM BABY LOVE 
Camelonjuniors,Happy 18th birthday to defender Blair Sneddon. Hopefully you'll get to celebrate properly later in the year! Have a great day #weareCJFC #itswhoweare #supportlocal #since1920
lordycontreras,Happy 18th Birthday April arats na ulit mag 7 11! miss you!Godbless 
ilovekylie_1986,Happy 18th birthday to Kylie's Fever Tour loved seeing this show on the 7th may 2002 in Birmingham @kylieminogue will never forget the fevertour2002 era as it was the same year I move into the flat I am in now https://twitter.com/kylieminogue/status/1254452382488035328
IMRIELLYEIN24,@honey_pie02 happy 18th birthday burakdat Godbless you as always loveyou keepsafe 
t_manthata,Happy birthday 
nicoleemeliton,"happy 18th birthday, tita gands! "
ilovekylie_1986,Happy 18th birthday to Kylie's Fever Tour loved seeing this show on the 7th may 2002 in Birmingham @kylieminogue will never forget it was the same year I moved into my flat 
kmedsec,Happy 18th Birthday @CharlieGoad what a time to turn 18 and in a cast. Love you beyond words xx
shaimeyyy,"Happy 18th Birthday Wenea ! thankyouu for everything, please be happy na lagi ha and follow your dreams Igotchu olweys. Iloveyouu! enjoy your day after ecq nlng celeb @aenewgurl"
SabihonRiza,"happy ako para kay alisyaaaa , ngayong 18th birthday niyaaa iloveyouuu "
jperezpesigan,Happy 18th Birthday Kinakapatids @jezylmarie
mondemmamon,Happy 18th Birthday Bee!! 
GabSlbyb,"Happy 18th Birthday, @Krstl_Izza! Luv u!! "
